ablation,batch_size,best_val_loss,campaign,canonical_loss_weight,core_field_weight,core_warmup_epochs,dissipative_symbol_scale,dissipative_time_step,effective_metadata_flow_loss_weight,epochs,family,final_train_canonical_consistency,final_train_core_field_loss,final_train_core_warmup_loss,final_train_highfreq_core_loss,final_train_metadata_flow_loss,final_train_packet_space_loss,final_train_residual_energy,final_train_route_l1,final_train_symbol_order_loss,final_train_symbol_proxy,final_train_transport_proxy,frame_type,freeze_refinement_epochs,grad_clip_norm,height,highfreq_core_loss_weight,highfreq_cutoff,in_channels,learning_rate,local_refine_scale,loss_config,max_modes,max_test_samples,max_train_samples,max_val_samples,metadata_flow_loss_weight,mode_strategy,model,model_variant,oom_fallback,out_channels,packet_space_loss_weight,parameters,patch_size,pdo_symbol_order,pdo_symbol_scale,proxy_temperature,reference_source,refine_lowpass_cutoff,regime,requested_batch_size,residual_energy_weight,route_bias_init,route_l1_weight,row_type,run_id,runtime_seconds,scenario,seed,skip_lowpass_cutoff,source_kind,sparse_topk,stride,symbol_order,symbol_order_loss_weight,symbol_order_target,symbol_proxy_weight,test_canonical_flow_error,test_core_relative_l2,test_dissipative_multiplier_mean,test_dissipative_symbol_norm,test_high_frequency_relative_error_proxy,test_loss,test_metadata_shift_norm,test_packet_consistency,test_packet_wavefront_localization_error,test_pdo_identity_norm,test_pdo_identity_order_proxy,test_phase_error,test_raw_refine_correction_norm,test_refine_correction_norm,test_refine_high_frequency_fraction,test_refine_lowpass_removed_norm,test_refine_relative_energy,test_refinement_energy,test_relative_l2,test_residual_energy,test_route_mean,test_sobolev_h1_error_proxy,test_sobolev_h2_error_proxy,test_symbol_budget,test_symbol_error_proxy,test_symbol_order_proxy,test_symbol_order_scaling_error_proxy,test_symplectic_defect_proxy,test_tokenizer_active_fraction,test_tokenizer_covering_radius,test_tokenizer_phase_window_diameter,test_tokenizer_reconstruction_error,test_transport_budget,test_transported_input_norm,test_transported_input_shift_norm,test_transported_landing_gate,test_transported_landing_norm,test_transported_synthesis_shift_norm,test_wavefront_confidence_proxy,test_wf_transport_error_proxy,token_refine_scale,transport_highpass_cutoff,transport_parameterization,transport_proxy_weight,transport_stencil,transported_decoder_channels,transported_decoder_scale,transported_decoder_transport_gate,transported_input_scale,transported_synthesis_mode,transported_synthesis_scale,wavefront_confidence_scale,weight_decay,width,window_type
full,1,3.301017113699345e-05,calculus_id,0.0,1.0,1,0.1,1.0,0.0,4,diffusion_neumann,0.0,4.849669471695961e-05,0.0,0.0,0.0,0.0,1.8153275771481958e-08,0.017969436012208462,0.0,0.40883619338274,0.04295072425156832,local_fft,1,1.0,192,0.0,0.0,3,0.0001,0.15,proxy_0.10_0.05,16,2,4,2,0.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.15_rlp0.25_hfc0_rb-4_pdo0.1_diss0.1_symord0_symparmlp_wfconf0_trmlp_displacement_framelocal_fft_sparse0_sklp0_tsyn0_tin0_tsmwarp_tdec0x0_tdgate1_tref1,False,1,0.0,1261610,16,-2.0,0.1,0.05,,0.25,control,1,0.05,-4.0,0.01,run,calculus_id_diffusion_neumann_control_proxy_0p10_0p05_full_7_mlp_displacement_local_fft_False_0p0_0p25_0p0_0p0_0p0_0p0_warp_0_0p0_True_1p0_0p0_0p0_0p0_0p0_0p0_1_1,8.886472800000774,diffusion_neumann_control,7,0.0,tcno_cache,False,8,0.0,0.0,0.0,0.05,0.015016458928585052,0.006376070668920875,0.4998125185569127,0.39973580092191696,32987.0439453125,4.043504668516107e-05,0.015016458928585052,0.0035233080852776766,0.010765083134174347,0.07747763209044933,-0.781897579630216,1.5487595796585083,0.030176503583788872,0.030148357152938843,9.321213838120457e-06,0.0012894105748273432,2.469871152044334e-08,2.469871152044334e-08,0.006324323825538158,2.469871152044334e-08,0.017965035513043404,0.0061162656638771296,0.006273382809013128,0.925553763906161,0.925553763906161,0.11174281065662701,3.058423638343811,6.638134683119763e-06,1.0,0.0833333432674408,1.3031495809555054,16.387727737426758,0.16368604078888893,0.0,0.0,0.002320354455150664,0.0,0.0,0.0,3.8358850360964425e-05,1.0,0.0,mlp_displacement,0.1,12,0,0.0,True,0.0,warp,0.0,0.0,0.0001,192,gaussian
full,1,2.9796417948091403e-05,calculus_id,0.0,1.0,1,0.1,1.0,0.0,4,diffusion_neumann,0.0,4.385005718177126e-05,0.0,0.0,0.0,0.0,5.330070678155607e-07,0.017969445791095495,0.0,0.40887270122766495,0.04296254273504019,local_fft,1,1.0,192,0.0,0.0,3,0.0001,0.15,proxy_0.10_0.05,16,2,4,2,0.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.15_rlp0.25_hfc0_rb-4_pdo0.1_diss0.1_symord0_symparmlp_wfconf0_trmlp_displacement_framelocal_fft_sparse0_sklp0_tsyn0_tin0_tsmwarp_tdec0x0_tdgate1_tref1,False,1,0.0,1261610,16,-2.0,0.1,0.05,,0.25,control,1,0.05,-4.0,0.01,run,calculus_id_diffusion_neumann_control_proxy_0p10_0p05_full_11_mlp_displacement_local_fft_False_0p0_0p25_0p0_0p0_0p0_0p0_warp_0_0p0_True_1p0_0p0_0p0_0p0_0p0_0p0_1_1,8.03221929999927,diffusion_neumann_control,11,0.0,tcno_cache,False,8,0.0,0.0,0.0,0.05,0.013193642720580101,0.0062343585304915905,0.5007937302192053,0.39602701117595035,34280.2412109375,3.6210135476721916e-05,0.013193642720580101,0.0030565643683075905,0.010760688688606024,0.07028219445298116,-0.9138330320517222,1.6864622235298157,0.15392721444368362,0.15387675166130066,8.387870366277639e-06,0.003940736060030758,6.429203267543926e-07,6.429203267543926e-07,0.005991754122078419,6.429203267543926e-07,0.017965039238333702,0.005980682792142034,0.0061825348529964685,0.9010086258252462,0.9010086258252462,0.010466132157792648,1.7413695454597473,5.595865066728341e-06,1.0,0.0833333432674408,1.3031495809555054,16.387727737426758,0.16164220497012138,0.0,0.0,0.002166968653909862,0.0,0.0,0.0,4.0011955206864513e-05,1.0,0.0,mlp_displacement,0.1,12,0,0.0,True,0.0,warp,0.0,0.0,0.0001,192,gaussian
full,1,4.541921771306079e-05,calculus_id,0.0,1.0,1,0.1,1.0,0.0,4,diffusion_neumann,0.0,5.0291036586713744e-05,0.0,0.0,0.0,0.0,6.532697582883884e-08,0.017969430424273014,0.0,0.4088040441274643,0.042971719056367874,local_fft,1,1.0,192,0.0,0.0,3,0.0001,0.15,proxy_0.10_0.05,16,2,4,2,0.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.15_rlp0.25_hfc0_rb-4_pdo0.1_diss0.1_symord0_symparmlp_wfconf0_trmlp_displacement_framelocal_fft_sparse0_sklp0_tsyn0_tin0_tsmwarp_tdec0x0_tdgate1_tref1,False,1,0.0,1261610,16,-2.0,0.1,0.05,,0.25,control,1,0.05,-4.0,0.01,run,calculus_id_diffusion_neumann_control_proxy_0p10_0p05_full_19_mlp_displacement_local_fft_False_0p0_0p25_0p0_0p0_0p0_0p0_warp_0_0p0_True_1p0_0p0_0p0_0p0_0p0_0p0_1_1,8.134116799999902,diffusion_neumann_control,19,0.0,tcno_cache,False,8,0.0,0.0,0.0,0.05,0.011891688220202923,0.007347408682107925,0.49976860731840134,0.398742251098156,40610.0859375,5.346056968846824e-05,0.011891688220202923,0.003636590321548283,0.010780230164527893,0.07311726113160451,-0.8140959242979685,1.565207600593567,0.053917691111564636,0.053816238418221474,5.251999209576752e-05,0.0033043340081349015,7.861646267315336e-08,7.861646267315336e-08,0.007289198925718665,7.861646267315336e-08,0.01796501874923706,0.007121642818674445,0.007463954389095306,0.8566686660051346,0.8566686660051346,0.032983264594804496,1.0502963662147522,6.339270745077859e-06,1.0,0.0833333432674408,1.3031495809555054,16.387727737426758,0.15843142569065094,0.0,0.0,0.004178287694230676,0.0,0.0,0.0,4.233489653415745e-05,1.0,0.0,mlp_displacement,0.1,12,0,0.0,True,0.0,warp,0.0,0.0,0.0001,192,gaussian
no_symbol,1,3.585335434763692e-05,calculus_id,0.0,1.0,1,0.1,1.0,0.0,4,diffusion_neumann,0.0,4.726933275378542e-05,0.0,0.0,0.0,0.0,1.9296215514330584e-08,0.017969440668821335,0.0,0.40890226513147354,0.04297397844493389,local_fft,1,1.0,192,0.0,0.0,3,0.0001,0.15,proxy_0.10_0.05,16,2,4,2,0.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.15_rlp0.25_hfc0_rb-4_pdo0.1_diss0.1_symord0_symparmlp_wfconf0_trmlp_displacement_framelocal_fft_sparse0_sklp0_tsyn0_tin0_tsmwarp_tdec0x0_tdgate1_tref1,False,1,0.0,1009706,16,-2.0,0.1,0.05,,0.25,control,1,0.05,-4.0,0.01,run,calculus_id_diffusion_neumann_control_proxy_0p10_0p05_no_symbol_7_mlp_displacement_local_fft_False_0p0_0p25_0p0_0p0_0p0_0p0_warp_0_0p0_True_1p0_0p0_0p0_0p0_0p0_0p0_1_1,7.934407999999166,diffusion_neumann_control,7,0.0,tcno_cache,False,8,0.0,0.0,0.0,0.05,0.015504913870245218,0.006561039946973324,0.5006952161590258,0.4004215995470683,34539.7841796875,4.269444980309345e-05,0.015504913870245218,0.00346107454970479,0.010765226557850838,0.0781598649919033,-0.7719637602567673,1.7350343465805054,0.03125499747693539,0.031228086911141872,8.959336355474079e-06,0.0012831915519200265,2.6497763094823767e-08,2.6497763094823767e-08,0.006507923128083348,2.6497763094823767e-08,0.017965049482882023,0.006323760841041803,0.006523612188175321,0.0,0.0,0.0,1.9338102340698242,6.720302091404544e-06,1.0,0.0833333432674408,1.3031495809555054,16.387727737426758,0.16115723426143327,0.0,0.0,0.0027451219502836466,0.0,0.0,0.0,3.967845714214491e-05,1.0,0.0,mlp_displacement,0.1,12,0,0.0,True,0.0,warp,0.0,0.0,0.0001,192,gaussian
no_symbol,1,3.291902885393938e-05,calculus_id,0.0,1.0,1,0.1,1.0,0.0,4,diffusion_neumann,0.0,4.562616959447041e-05,0.0,0.0,0.0,0.0,5.358563086588219e-07,0.017969445791095495,0.0,0.4089342728257179,0.04296007473021746,local_fft,1,1.0,192,0.0,0.0,3,0.0001,0.15,proxy_0.10_0.05,16,2,4,2,0.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.15_rlp0.25_hfc0_rb-4_pdo0.1_diss0.1_symord0_symparmlp_wfconf0_trmlp_displacement_framelocal_fft_sparse0_sklp0_tsyn0_tin0_tsmwarp_tdec0x0_tdgate1_tref1,False,1,0.0,1009706,16,-2.0,0.1,0.05,,0.25,control,1,0.05,-4.0,0.01,run,calculus_id_diffusion_neumann_control_proxy_0p10_0p05_no_symbol_11_mlp_displacement_local_fft_False_0p0_0p25_0p0_0p0_0p0_0p0_warp_0_0p0_True_1p0_0p0_0p0_0p0_0p0_0p0_1_1,7.8844726999996055,diffusion_neumann_control,11,0.0,tcno_cache,False,8,0.0,0.0,0.0,0.05,0.013014676049351692,0.006597024155780673,0.5006444354852041,0.39884308228890103,33664.9736328125,4.028534203825984e-05,0.013014676049351692,0.0035237413831055164,0.01076636416837573,0.07278607226908207,-0.9138947874307632,1.598891794681549,0.13770535588264465,0.13765686005353928,9.010275789478328e-06,0.0036541037261486053,5.145998898115067e-07,5.145998898115067e-07,0.006317341700196266,5.145998898115067e-07,0.01797209121286869,0.006149116437882185,0.0063230732921510935,0.0,0.0,0.0,2.1519922018051147,5.808723140413956e-06,1.0,0.0833333432674408,1.3031495809555054,16.387727737426758,0.16893630598982176,0.0,0.0,0.002388347056694329,0.0,0.0,0.0,3.923218719137367e-05,1.0,0.0,mlp_displacement,0.1,12,0,0.0,True,0.0,warp,0.0,0.0,0.0001,192,gaussian
no_symbol,1,3.2471242775500286e-05,calculus_id,0.0,1.0,1,0.1,1.0,0.0,4,diffusion_neumann,0.0,5.167829658603296e-05,0.0,0.0,0.0,0.0,6.439918109890641e-08,0.017969431821256876,0.0,0.4088922515511513,0.04296607058495283,local_fft,1,1.0,192,0.0,0.0,3,0.0001,0.15,proxy_0.10_0.05,16,2,4,2,0.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.15_rlp0.25_hfc0_rb-4_pdo0.1_diss0.1_symord0_symparmlp_wfconf0_trmlp_displacement_framelocal_fft_sparse0_sklp0_tsyn0_tin0_tsmwarp_tdec0x0_tdgate1_tref1,False,1,0.0,1009706,16,-2.0,0.1,0.05,,0.25,control,1,0.05,-4.0,0.01,run,calculus_id_diffusion_neumann_control_proxy_0p10_0p05_no_symbol_19_mlp_displacement_local_fft_False_0p0_0p25_0p0_0p0_0p0_0p0_warp_0_0p0_True_1p0_0p0_0p0_0p0_0p0_0p0_1_1,7.8525240999988455,diffusion_neumann_control,19,0.0,tcno_cache,False,8,0.0,0.0,0.0,0.05,0.013026893604546785,0.006359489401802421,0.4997530033191045,0.40135427316029865,33451.8779296875,4.005417395092081e-05,0.013026893604546785,0.0036149354418739676,0.010764772538095713,0.0747884971400102,-0.8232232530911764,1.5962754487991333,0.05338652431964874,0.05328431352972984,5.338365554052871e-05,0.003300206153653562,7.70690959939202e-08,7.70690959939202e-08,0.006295942235738039,7.70690959939202e-08,0.017965017817914486,0.006065094377845526,0.006237456109374762,0.0,0.0,0.0,1.8408313393592834,6.189515166473332e-06,1.0,0.0833333432674408,1.3031495809555054,16.387727737426758,0.16677207996447882,0.0,0.0,0.0019275619415566325,0.0,0.0,0.0,3.8582909837714396e-05,1.0,0.0,mlp_displacement,0.1,12,0,0.0,True,0.0,warp,0.0,0.0,0.0001,192,gaussian
