ablation,family,loss_config,mean_final_train_canonical_consistency,mean_final_train_core_field_loss,mean_final_train_core_warmup_loss,mean_final_train_helmholtz_residual_loss,mean_final_train_highfreq_core_loss,mean_final_train_packet_space_loss,mean_final_train_residual_energy,mean_final_train_route_l1,mean_final_train_symbol_order_loss,mean_final_train_symbol_proxy,mean_final_train_symbol_seminorm_loss,mean_final_train_transport_proxy,mean_runtime_seconds,mean_test_branch_diversity,mean_test_branch_entropy,mean_test_branch_spread,mean_test_branch_usage_max,mean_test_canonical_flow_error,mean_test_core_relative_l2,mean_test_dissipative_multiplier_mean,mean_test_dissipative_symbol_norm,mean_test_edge_symbol_deviation_proxy,mean_test_egorov_intertwining_proxy,mean_test_egorov_jacobian_self_proxy,mean_test_egorov_jacobian_target_proxy,mean_test_egorov_targeted_probe_proxy,mean_test_helmholtz_complex_latent_imag_energy_proxy,mean_test_helmholtz_outgoing_flux_proxy,mean_test_helmholtz_outgoing_gate_proxy,mean_test_helmholtz_resolvent_envelope_proxy,mean_test_helmholtz_resolvent_imag_proxy,mean_test_helmholtz_resolvent_real_proxy,mean_test_helmholtz_shell_center_proxy,mean_test_helmholtz_shell_distance_proxy,mean_test_high_frequency_relative_error_proxy,mean_test_local_tube_coordinate_norm,mean_test_metadata_shift_norm,mean_test_packet_consistency,mean_test_packet_wavefront_localization_error,mean_test_pdo_identity_norm,mean_test_pdo_identity_order_proxy,mean_test_phase_error,mean_test_raw_refine_correction_norm,mean_test_refine_correction_norm,mean_test_refine_high_frequency_fraction,mean_test_refine_lowpass_removed_norm,mean_test_refine_relative_energy,mean_test_refinement_energy,mean_test_relative_l2,mean_test_residual_energy,mean_test_route_mean,mean_test_sobolev_h1_error_proxy,mean_test_sobolev_h2_error_proxy,mean_test_symbol_budget,mean_test_symbol_error_proxy,mean_test_symbol_order_proxy,mean_test_symbol_order_scaling_error_proxy,mean_test_symbol_seminorm_proxy,mean_test_symplectic_defect_proxy,mean_test_tokenizer_active_fraction,mean_test_tokenizer_covering_radius,mean_test_tokenizer_phase_window_diameter,mean_test_tokenizer_reconstruction_error,mean_test_transport_budget,mean_test_transported_input_norm,mean_test_transported_input_shift_norm,mean_test_transported_landing_gate,mean_test_transported_landing_norm,mean_test_transported_synthesis_shift_norm,mean_test_wavefront_confidence_proxy,mean_test_wf_transport_error_proxy,model_variant,regime,runs,scenario,std_final_train_canonical_consistency,std_final_train_core_field_loss,std_final_train_core_warmup_loss,std_final_train_helmholtz_residual_loss,std_final_train_highfreq_core_loss,std_final_train_packet_space_loss,std_final_train_residual_energy,std_final_train_route_l1,std_final_train_symbol_order_loss,std_final_train_symbol_proxy,std_final_train_symbol_seminorm_loss,std_final_train_transport_proxy,std_runtime_seconds,std_test_branch_diversity,std_test_branch_entropy,std_test_branch_spread,std_test_branch_usage_max,std_test_canonical_flow_error,std_test_core_relative_l2,std_test_dissipative_multiplier_mean,std_test_dissipative_symbol_norm,std_test_edge_symbol_deviation_proxy,std_test_egorov_intertwining_proxy,std_test_egorov_jacobian_self_proxy,std_test_egorov_jacobian_target_proxy,std_test_egorov_targeted_probe_proxy,std_test_helmholtz_complex_latent_imag_energy_proxy,std_test_helmholtz_outgoing_flux_proxy,std_test_helmholtz_outgoing_gate_proxy,std_test_helmholtz_resolvent_envelope_proxy,std_test_helmholtz_resolvent_imag_proxy,std_test_helmholtz_resolvent_real_proxy,std_test_helmholtz_shell_center_proxy,std_test_helmholtz_shell_distance_proxy,std_test_high_frequency_relative_error_proxy,std_test_local_tube_coordinate_norm,std_test_metadata_shift_norm,std_test_packet_consistency,std_test_packet_wavefront_localization_error,std_test_pdo_identity_norm,std_test_pdo_identity_order_proxy,std_test_phase_error,std_test_raw_refine_correction_norm,std_test_refine_correction_norm,std_test_refine_high_frequency_fraction,std_test_refine_lowpass_removed_norm,std_test_refine_relative_energy,std_test_refinement_energy,std_test_relative_l2,std_test_residual_energy,std_test_route_mean,std_test_sobolev_h1_error_proxy,std_test_sobolev_h2_error_proxy,std_test_symbol_budget,std_test_symbol_error_proxy,std_test_symbol_order_proxy,std_test_symbol_order_scaling_error_proxy,std_test_symbol_seminorm_proxy,std_test_symplectic_defect_proxy,std_test_tokenizer_active_fraction,std_test_tokenizer_covering_radius,std_test_tokenizer_phase_window_diameter,std_test_tokenizer_reconstruction_error,std_test_transport_budget,std_test_transported_input_norm,std_test_transported_input_shift_norm,std_test_transported_landing_gate,std_test_transported_landing_norm,std_test_transported_synthesis_shift_norm,std_test_wavefront_confidence_proxy,std_test_wf_transport_error_proxy
full,helmholtz_highk,proxy_0.20_0.05,0.0,0.38413898564047283,0.0,0.99375548462073,0.36428803122705883,0.15781447312070265,1.026812727545889e-10,0.00665295045150237,0.1275166073068653,0.6169665629665056,14.15063522921668,0.04770374701668818,1432.4792770333333,0.4282802517215411,0.5363624642292658,0.00024192977040608335,0.6846255560715994,0.00010994841250067111,0.612490713596344,1.0,0.0,0.018029249195630353,0.0,0.0,0.0,0.0,0.01042461934654663,0.03407925177210321,0.6389291857679685,2.9807710150877633,1.5775795578956604,2.37715882062912,0.13742371276021004,0.4061730441947778,87.61897277832031,0.003668727867382889,0.00010994841250067111,0.46058549483617145,0.10722669586539268,0.0,-3.926511452946851e-13,1.512370804945628,0.0027253855272041014,0.001493325272652631,1.7580378037400975e-14,0.0022075947878571847,7.89885526416544e-11,7.89885526416544e-11,0.612490102648735,7.89885526416544e-11,0.006649413146078587,0.6146318515141805,0.6167381207148234,1.1281782786051433,1.1281782786051433,0.008583659927050272,1.3171021143595378,3.749317079782486,0.0,1.0,0.06916699558496475,1.3623838424682617,0.7587170600891113,0.2552276439964771,71.42822647094727,0.40475088606278103,0.8605434447526932,5.607776343822479,0.835123480608066,1.3432741463184357,0.06550906381259362,MiNO-Plus_wingaussian_modshell_balanced_K3_modes6_patch16_ref0.03_rlp0.12_hfc0.12_rb-5_pdo0_diss0_symord0_symparhelmholtz_resolvent_hrad0_href1_heta0.08_hcap8_hres0.015_hk12_cplx0.03_cphase0.01_wfconf2.5_trhamiltonian_verlet_framedirectional_gabor_sparse1_sklp0.12_tsyn1_tin1_tsmwarp_tdec1x8_tdgate1_tref0_br2_brroutemetadata_frequency_softmax_brprior1.5_brent0.03_brdiv0.05_edgesymlocal_packet_kernel_edgestr0.5,positive,3,helmholtz_highk_positive,0.0,0.0023906806550532183,0.0,0.00018520523552757027,0.0030069392846504635,0.0033391514188072305,8.512758378805143e-11,6.5145442963923e-07,0.04984364910747087,0.007469842056656155,2.344452468655528,6.612358164366506e-06,579.9261411835398,0.007152734342412074,0.006566989151834207,0.00014817946179315313,0.01436679562244029,2.585926249812345e-05,0.0030056856066798545,0.0,0.0,0.0018125402862451585,0.0,0.0,0.0,0.0,0.0012301214907160535,0.029438359808339934,0.01165297366777421,0.019103271757431504,0.01989167760668756,0.07561313289757723,0.00011528356321423983,0.00016451666179285898,2.5541911747616473,1.5748337697729476e-05,2.585926249812345e-05,0.015112207257187095,0.008924906251084797,0.0,1.2956473172826956e-12,0.014961451219118623,0.0008585120117837135,0.0008555404417385533,3.947305947025984e-15,0.0005217276795209899,7.750800485350104e-11,7.750800485350104e-11,0.0030057087610404487,7.750800485350104e-11,2.436416385050879e-07,0.0030351822483998905,0.0031024591737830094,0.09183531969489339,0.09183531969489339,0.13711105325332731,0.14801532308413093,0.3449573854853634,0.0,0.0,0.0,0.0,1.7278286760159688e-05,0.022883626708555146,0.1272830453664246,0.23777382539519393,0.0013555164323283471,1.8982196804574705,0.8951076785872792,0.0016626465423404849,0.0022925105051409193
no_symbol,helmholtz_highk,proxy_0.20_0.05,0.0,0.3625266229112943,0.0,0.9937577115164863,0.34266175660822124,0.1305897949884335,1.1171308774594647e-10,0.006652614554493791,6.348233243252728e-24,0.569660582476192,0.0,0.0477073627213637,849.1598500999995,0.45618343601624173,0.5756877139210701,0.0002545245315559441,0.6272280911604563,0.00011301083577563986,0.5971613128980001,1.0,0.0,0.25603620894253254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.99444262186687,0.004245412807601194,0.00011301083577563986,0.4319824278354645,0.1332302000373602,0.0,-6.896922122586926e-14,1.592315177122752,0.002794480009470135,0.0015709049281819414,1.8455555348393694e-14,0.002231614450768878,8.753265726540542e-11,8.753265726540542e-11,0.5971608261267344,8.753265726540542e-11,0.006649547411749761,0.5994229217370352,0.60156878332297,0.0,0.0,-6.896922122586926e-14,1.3819439212481182,0.0,0.0,1.0,0.06916699558496475,1.3623838424682617,0.7586240669091543,2.115490381916364,71.41795285542806,0.2664468449850877,0.8622639278570811,5.7335359652837115,0.6379498839378357,1.3081492334604263,0.06863168564935525,MiNO-Plus_wingaussian_modshell_balanced_K3_modes6_patch16_ref0.03_rlp0.12_hfc0.12_rb-5_pdo0_diss0_symord0_symparhelmholtz_resolvent_hrad0_href1_heta0.08_hcap8_hres0.015_hk12_cplx0.03_cphase0.01_wfconf2.5_trhamiltonian_verlet_framedirectional_gabor_sparse1_sklp0.12_tsyn1_tin1_tsmwarp_tdec1x8_tdgate1_tref0_br2_brroutemetadata_frequency_softmax_brprior1.5_brent0.03_brdiv0.05_edgesymlocal_packet_kernel_edgestr0.5,positive,3,helmholtz_highk_positive,0.0,0.004667340412854068,0.0,0.0005498769739514707,0.005250935733978028,0.005725532305259898,8.770321707771332e-11,1.8399406866179847e-07,1.9461954660465905e-24,0.016524690410662443,0.0,6.96849880401234e-06,72.28585241666906,0.010101092708620687,0.016326528183986666,0.0001668020716387274,0.016614250385464654,2.793356294997397e-05,0.004054034254339856,0.0,0.0,0.04254451020065556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.706681374280296,4.789520268755764e-05,2.793356294997397e-05,0.013316273713483739,0.006557198132364794,0.0,1.8616333207870176e-12,0.011410950692507811,0.0008836230580639366,0.0008893677418891168,4.715285122830043e-15,0.0005379525169514223,8.291110972290183e-11,8.291110972290183e-11,0.0040540166418876885,8.291110972290183e-11,2.54117937516086e-07,0.003792223929180449,0.0035625501741553003,0.0,0.0,1.8616333207870176e-12,0.16603282996473778,0.0,0.0,0.0,0.0,0.0,2.415095941434594e-05,0.09848292088122718,0.06271674098356796,0.13092606312935515,0.002433804121377954,1.7834458574717247,0.5448907247988151,0.01476426507876482,0.003936041785312441
no_transport,helmholtz_highk,proxy_0.20_0.05,0.0,0.388955059978697,0.0,0.9937574764092764,0.36854247914420235,0.16416428113977113,1.0511504015299489e-10,0.006652515549730096,0.09013605508951311,0.6277859070234828,13.467562463548449,0.047739120510717235,32.69582323333452,0.4187782208124797,0.5285191188255945,0.0,0.695213129123052,3.412883013235538e-08,0.6162026027838389,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011296280465709666,0.005316134755654882,0.6272806525230408,3.0000054240226746,1.5949081232150395,2.4241926272710166,0.13747414015233517,0.4061215619246165,87.05173365275066,0.0,3.412883013235538e-08,0.45591674745082855,0.10226769869526227,0.0,-2.528777046702929e-12,1.4993477761745453,0.0027280996728222817,0.0015061731780103098,1.6859729746829227e-14,0.0022022533618534603,7.997393947165726e-11,7.997393947165726e-11,0.6162019670009613,7.997393947165726e-11,0.006649102317169309,0.6183438499768575,0.62043596804142,1.1086154282093048,1.1086154282093048,0.06255922342340152,1.5057612657546997,3.6550926665465036,0.0,1.0,0.06916699558496475,1.3623838424682617,0.7587237407763799,0.0,71.6680850982666,0.00018417684502007128,0.8596329540014267,5.727135539054871,7.769195508444682e-05,0.0,0.06616494618356228,MiNO-Plus_wingaussian_modshell_balanced_K3_modes6_patch16_ref0.03_rlp0.12_hfc0.12_rb-5_pdo0_diss0_symord0_symparhelmholtz_resolvent_hrad0_href1_heta0.08_hcap8_hres0.015_hk12_cplx0.03_cphase0.01_wfconf2.5_trhamiltonian_verlet_framedirectional_gabor_sparse1_sklp0.12_tsyn1_tin1_tsmwarp_tdec1x8_tdgate1_tref0_br2_brroutemetadata_frequency_softmax_brprior1.5_brent0.03_brdiv0.05_edgesymlocal_packet_kernel_edgestr0.5,positive,3,helmholtz_highk_positive,0.0,0.002849923517711376,0.0,7.213042538545612e-05,0.003050544177481805,0.0042653866636363225,8.431020327409073e-11,3.371966538578288e-07,0.02414916110675313,0.007784133787733317,1.8204845875264337,0.0,1.8631274265470745,0.002399008364539015,0.0032259105289956986,0.0,0.010982621490590379,5.298041913411122e-10,0.0022040370431979373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008671646313730706,8.891367072076227e-11,0.0,0.0328177070481215,0.03357850072838524,0.0898665527727988,0.00047878314381855785,0.0002839855074964552,1.5362033111347886,0.0,5.298041913411122e-10,0.007398782200286686,0.004682297769726518,0.0,6.420497543335824e-13,0.01673796330097801,0.0008556991991217381,0.0008562015840124951,4.952650095742766e-15,0.0005179675840490172,7.751083727369492e-11,7.751083727369492e-11,0.0022040833024030504,7.751083727369492e-11,2.3861631220395274e-07,0.00222904207362482,0.002250731730679775,0.07928826142208759,0.07928826142208759,0.11147339190524096,0.01013466423887245,0.2647781125252482,0.0,0.0,0.0,0.0,2.4455126999529327e-05,0.0,0.046847537535967425,1.0848387316084687e-07,0.0009669697251152398,1.8647749118874597,4.891733974394021e-06,0.0,0.0020008128972338743
no_transport_no_carrier,helmholtz_highk,proxy_0.20_0.05,0.0,0.8062082976102829,0.0,0.9873096181286706,0.7836591394411193,0.16742236663897833,5.148120615696064e-11,0.006655800945332481,0.14165575300189126,0.6230432358052995,20.183563444349502,0.047739120510717235,24.437594533332838,0.4202928940455119,0.5305407221118609,0.0,0.6938326383630434,3.4110816097647025e-08,0.9048946648836136,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013738095023048421,0.005316134852667649,0.6272806525230408,2.986354817946752,1.5812740077575047,2.375576118628184,0.1376900840550661,0.4059944823384285,85.75931517283122,0.0,3.4110816097647025e-08,0.7782799849907557,0.13244581098357835,0.0,-2.170336754643102e-12,1.4921657542387645,0.0011923425481654704,0.0010186877043452114,1.7639820727349955e-14,0.0005495678754717422,3.512885148786518e-11,3.512885148786518e-11,0.9048943370580673,3.512885148786518e-11,0.006652908748947084,0.9059522598981857,0.9070122241973877,1.3280869722366333,1.3280869722366333,0.17078851771657355,1.6144822637240093,4.546844730774562,0.0,1.0,0.06916699558496475,1.3623838424682617,0.7587597270806631,0.0,0.0,0.0,0.772666280468305,0.0,4.232751355933336e-06,0.0,0.2583064076801141,MiNO-Plus_wingaussian_modshell_balanced_K3_modes6_patch16_ref0.03_rlp0.12_hfc0.12_rb-5_pdo0_diss0_symord0_symparhelmholtz_resolvent_hrad0_href1_heta0.08_hcap8_hres0.015_hk12_cplx0.03_cphase0.01_wfconf2.5_trhamiltonian_verlet_framedirectional_gabor_sparse1_sklp0.12_tsyn1_tin1_tsmwarp_tdec1x8_tdgate1_tref0_br2_brroutemetadata_frequency_softmax_brprior1.5_brent0.03_brdiv0.05_edgesymlocal_packet_kernel_edgestr0.5,positive,3,helmholtz_highk_positive,0.0,0.014870605412600052,0.0,0.0005923545681515764,0.014269788422987826,0.005983831825863781,3.2383033118990715e-11,3.8437770651049e-07,0.033501030327677934,0.012218108646011151,2.4168816198186938,0.0,0.539855280861861,0.004210025855844126,0.005621018054169585,0.0,0.006216870174066291,5.361112861553088e-10,0.008251652675333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005998312336003852,8.891367072076227e-11,0.0,0.03559253946810984,0.035879039218993485,0.11360645378384271,0.0005439201371380281,0.00032119050507559523,2.899560929883626,0.0,5.361112861553088e-10,0.010545749068776426,0.011525492282582461,0.0,1.2583840559327296e-12,0.026623336833566574,0.00043644606377075837,0.00047529761485372063,6.503896115600901e-15,0.00013099297873613017,2.8112451872876364e-11,2.8112451872876364e-11,0.008251691733648269,2.8112451872876364e-11,8.116454280465336e-07,0.00820414117956349,0.008137199830959837,0.07493698031955637,0.07493698031955637,0.08483347411928163,0.06461778210099917,0.24121482873284708,0.0,0.0,0.0,0.0,4.651127047556346e-05,0.0,0.0,0.0,0.0071272425808226484,0.0,2.4891473964264846e-07,0.0,0.009354910734111684
