ablation,baseline_relative_l2,candidate_relative_l2,delta_packet_consistency,delta_phase_error,delta_relative_l2,delta_type,loss_config,scenario
full_no_flow_supervision,0.059926392044872046,0.059491772980739675,-1619.3253815468997,-0.05842355142037059,-0.0004346190641323702,ablation_vs_full,proxy_0.20_0.05,wave_bicharacteristic_control
identity_transport,0.059926392044872046,0.09260151768103242,-1213.0534622101113,0.06718069314956665,0.032675125636160374,ablation_vs_full,proxy_0.20_0.05,wave_bicharacteristic_control
no_symbol,0.059926392044872046,0.04962465834493438,-5700.9163133537695,-0.053958773612976074,-0.010301733699937664,ablation_vs_full,proxy_0.20_0.05,wave_bicharacteristic_control
no_transport,0.059926392044872046,0.09040820350249608,614.7705099848099,0.03054215759038925,0.030481811457624033,ablation_vs_full,proxy_0.20_0.05,wave_bicharacteristic_control
no_transport_no_carrier,0.059926392044872046,0.8142420028646787,80755.27874039565,0.2728294779857001,0.7543156108198067,ablation_vs_full,proxy_0.20_0.05,wave_bicharacteristic_control
randomized_metadata,0.059926392044872046,0.7217428671816984,70676.88021579836,0.26672258973121643,0.6618164751368264,ablation_vs_full,proxy_0.20_0.05,wave_bicharacteristic_control
full_no_flow_supervision,0.0568013257967929,0.06672476992631952,-42937.51558430988,-0.01626621186733246,0.009923444129526622,ablation_vs_full,proxy_0.20_0.05,wave_chirp_propagation
identity_transport,0.0568013257967929,0.10673282264421384,-20133.69901529944,-0.04356040557225538,0.04993149684742094,ablation_vs_full,proxy_0.20_0.05,wave_chirp_propagation
no_symbol,0.0568013257967929,0.05284474308912953,-46679.35607910156,-0.02656029661496473,-0.0039565827076633725,ablation_vs_full,proxy_0.20_0.05,wave_chirp_propagation
no_transport,0.0568013257967929,0.10370909282937646,-30210.46366373694,-0.008807823061943054,0.04690776703258356,ablation_vs_full,proxy_0.20_0.05,wave_chirp_propagation
no_transport_no_carrier,0.0568013257967929,0.8621266633272171,1722783.6849365234,0.048099304238955254,0.8053253375304242,ablation_vs_full,proxy_0.20_0.05,wave_chirp_propagation
randomized_metadata,0.0568013257967929,0.8452298318346342,2024688.568725586,0.08692666391531634,0.7884285060378413,ablation_vs_full,proxy_0.20_0.05,wave_chirp_propagation
full_no_flow_supervision,0.1791034359484911,0.17978219067056975,1559.189519005362,0.0011376043160755689,0.0006787547220786505,ablation_vs_full,proxy_0.20_0.05,wave_synth
identity_transport,0.1791034359484911,0.21902325563132763,-8549.909474190325,0.014831483364105225,0.03991981968283653,ablation_vs_full,proxy_0.20_0.05,wave_synth
no_symbol,0.1791034359484911,0.1782288004954656,-703.5028589082267,-0.0074646323919296265,-0.0008746354530254907,ablation_vs_full,proxy_0.20_0.05,wave_synth
no_transport,0.1791034359484911,0.21853415916363397,-8013.863795541538,0.012476141254107231,0.03943072321514288,ablation_vs_full,proxy_0.20_0.05,wave_synth
no_transport_no_carrier,0.1791034359484911,0.77053735156854,25421.182594661288,0.11396493514378858,0.5914339156200489,ablation_vs_full,proxy_0.20_0.05,wave_synth
randomized_metadata,0.1791034359484911,0.779279001057148,24155.450722380847,0.12205103536446882,0.6001755651086569,ablation_vs_full,proxy_0.20_0.05,wave_synth
full_no_flow_supervision,0.036486865021288395,0.05111302932103475,59919.6328125,0.02651725709438324,0.014626164299746357,ablation_vs_full,proxy_0.20_0.05,wave_two_packet_no_interaction
identity_transport,0.036486865021288395,0.05347211627910534,13308.804036458328,-0.04561042785644531,0.016985251257816948,ablation_vs_full,proxy_0.20_0.05,wave_two_packet_no_interaction
no_symbol,0.036486865021288395,0.03140860081960758,26608.748372395843,0.020180414120356094,-0.005078264201680817,ablation_vs_full,proxy_0.20_0.05,wave_two_packet_no_interaction
no_transport,0.036486865021288395,0.05017608559379975,-4177.6070963541715,-0.07124947508176183,0.013689220572511353,ablation_vs_full,proxy_0.20_0.05,wave_two_packet_no_interaction
no_transport_no_carrier,0.036486865021288395,0.8281749685605367,703181.7923177084,0.1317129383484521,0.7916881035392483,ablation_vs_full,proxy_0.20_0.05,wave_two_packet_no_interaction
randomized_metadata,0.036486865021288395,0.8881852626800537,534967.2584635416,0.25005436937014247,0.8516983976587653,ablation_vs_full,proxy_0.20_0.05,wave_two_packet_no_interaction
full_no_flow_supervision,0.07170579489320517,0.08571522900213797,-6733.833913544815,-0.004396115740140427,0.014009434108932808,ablation_vs_full,proxy_0.20_0.05,wave_variable_speed_nocaustic
identity_transport,0.07170579489320517,0.14409185387194157,-13905.139264510324,0.009993458787600051,0.0723860589787364,ablation_vs_full,proxy_0.20_0.05,wave_variable_speed_nocaustic
no_symbol,0.07170579489320517,0.10144088044762611,-8728.5176933681,-0.006289074818293328,0.029735085554420948,ablation_vs_full,proxy_0.20_0.05,wave_variable_speed_nocaustic
no_transport,0.07170579489320517,0.14367700647562742,-15093.045136138799,0.00881378849347425,0.07197121158242226,ablation_vs_full,proxy_0.20_0.05,wave_variable_speed_nocaustic
no_transport_no_carrier,0.07170579489320517,0.754177396496137,109654.76855310796,0.1598822524150212,0.6824716016029319,ablation_vs_full,proxy_0.20_0.05,wave_variable_speed_nocaustic
randomized_metadata,0.07170579489320517,0.7515831713875135,159800.36130149168,0.17217250168323517,0.6798773764943083,ablation_vs_full,proxy_0.20_0.05,wave_variable_speed_nocaustic
