ablation,batch_size,best_val_loss,campaign,canonical_loss_weight,core_field_weight,core_warmup_epochs,dissipative_symbol_scale,dissipative_time_step,effective_metadata_flow_loss_weight,epochs,family,final_train_canonical_consistency,final_train_core_field_loss,final_train_core_warmup_loss,final_train_highfreq_core_loss,final_train_metadata_flow_loss,final_train_packet_space_loss,final_train_residual_energy,final_train_route_l1,final_train_symbol_order_loss,final_train_symbol_proxy,final_train_transport_proxy,frame_type,freeze_refinement_epochs,grad_clip_norm,height,highfreq_core_loss_weight,highfreq_cutoff,in_channels,learning_rate,local_refine_scale,loss_config,max_modes,max_test_samples,max_train_samples,max_val_samples,metadata_flow_loss_weight,mode_strategy,model,model_variant,oom_fallback,out_channels,packet_space_loss_weight,parameters,patch_size,pdo_symbol_order,pdo_symbol_scale,proxy_temperature,reference_source,refine_lowpass_cutoff,regime,requested_batch_size,residual_energy_weight,route_bias_init,route_l1_weight,row_type,run_id,runtime_seconds,scenario,seed,skip_lowpass_cutoff,source_kind,sparse_topk,stride,symbol_order,symbol_order_loss_weight,symbol_order_target,symbol_proxy_weight,test_canonical_flow_error,test_core_relative_l2,test_dissipative_multiplier_mean,test_dissipative_symbol_norm,test_high_frequency_relative_error_proxy,test_loss,test_metadata_shift_norm,test_packet_consistency,test_packet_wavefront_localization_error,test_pdo_identity_norm,test_pdo_identity_order_proxy,test_phase_error,test_raw_refine_correction_norm,test_refine_correction_norm,test_refine_high_frequency_fraction,test_refine_lowpass_removed_norm,test_refine_relative_energy,test_refinement_energy,test_relative_l2,test_residual_energy,test_route_mean,test_sobolev_h1_error_proxy,test_sobolev_h2_error_proxy,test_symbol_budget,test_symbol_error_proxy,test_symbol_order_proxy,test_symbol_order_scaling_error_proxy,test_symplectic_defect_proxy,test_tokenizer_active_fraction,test_tokenizer_covering_radius,test_tokenizer_phase_window_diameter,test_tokenizer_reconstruction_error,test_transport_budget,test_transported_input_norm,test_transported_input_shift_norm,test_transported_landing_gate,test_transported_landing_norm,test_transported_synthesis_shift_norm,test_wavefront_confidence_proxy,test_wf_transport_error_proxy,token_refine_scale,transport_highpass_cutoff,transport_parameterization,transport_proxy_weight,transport_stencil,transported_decoder_channels,transported_decoder_scale,transported_decoder_transport_gate,transported_input_scale,transported_synthesis_mode,transported_synthesis_scale,wavefront_confidence_scale,weight_decay,width,window_type
full,1,0.045545647852122784,branch_id_v3_controls,0.02,2.0,2,0.0,1.0,2.0,4,wave,4.999574709785293e-08,0.03335364302620292,0.0,0.01894331508083269,0.8229698538780212,0.013973706285469234,1.755928485946967e-09,0.006689305533654988,0.0013432159612420946,0.13044626079499722,0.06474435795098543,gabor_gaussian,2,1.0,64,1.0,0.16,1,0.0001,0.05,proxy_0.20_0.05,16,2,4,2,2.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_euler_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec0x0_tdgate1_tref0,False,1,0.05,910766,16,-2.0,0.0,0.05,,0.16,synthetic,1,0.5,-5.0,0.05,run,branch_id_v3_controls_wave_bicharacteristic_control_proxy_0p20_0p05_full_7_hamiltonian_euler_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_warp_0_0p0_True_0p0_2p0_0p01_0p05_1p0_2p0_2_2,2.4761272000014287,wave_bicharacteristic_control,7,0.16,synthetic,True,8,0.0,0.01,0.0,0.05,0.016107331961393356,0.5210750997066498,1.0,0.0,1.8333616852760315,0.025976229459047318,0.0022190165473148227,0.24930742383003235,0.018847885075956583,0.0,0.0,1.407219111919403,0.0006099303427617997,0.0005856361822225153,3.8396406898478564e-15,0.00015930681183817796,9.175671333849778e-10,9.175671333849778e-10,0.5210752487182617,9.175671333849778e-10,0.006687670247629285,0.5214100629091263,0.5216588377952576,0.4977313503623009,0.4977313503623009,-0.019241288925210636,1.8304581046104431,6.387210434629272e-08,0.9866071343421936,0.25,1.0774961709976196,2.619401216506958,0.1554946924249331,15.359618186950684,1.309828281402588,0.6843602806329727,0.0,0.3204152137041092,1.332455337047577,0.002992433146573603,0.0,0.16,hamiltonian_euler,0.2,12,0,0.0,True,1.0,warp,1.0,2.0,0.0001,64,gaussian
full,1,0.04364684037864208,branch_id_v3_controls,0.02,2.0,2,0.0,1.0,2.0,4,wave,1.0324896138058648e-07,0.02788342535495758,0.0,0.012839553750382038,0.7396262884140015,0.010305836447514594,1.5870585956534455e-08,0.006689341855235398,6.106126184590721e-05,0.12585009448230267,0.0720868082717061,gabor_gaussian,2,1.0,64,1.0,0.16,1,0.0001,0.05,proxy_0.20_0.05,16,2,4,2,2.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_euler_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec0x0_tdgate1_tref0,False,1,0.05,910766,16,-2.0,0.0,0.05,,0.16,synthetic,1,0.5,-5.0,0.05,run,branch_id_v3_controls_wave_bicharacteristic_control_proxy_0p20_0p05_full_11_hamiltonian_euler_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_warp_0_0p0_True_0p0_2p0_0p01_0p05_1p0_2p0_2_2,1.8834120000010444,wave_bicharacteristic_control,11,0.16,synthetic,True,8,0.0,0.01,0.0,0.05,0.015056118369102478,0.9471947252750397,1.0,0.0,1.52484130859375,0.019413761794567108,0.003303685924038291,218.3022003173828,0.021775798872113228,0.0,0.0,1.4947106838226318,0.0016912307473830879,0.001684748218394816,1.5727043902545438e-15,0.00013775563638773747,3.544133697630514e-08,3.544133697630514e-08,0.9471919238567352,3.544133697630514e-08,0.006687794579192996,0.9501141607761383,0.9530453383922577,0.5225143829981486,0.5225143829981486,0.01386088908960422,2.499131917953491,1.3358396285430749e-07,0.8443877398967743,0.25,1.0774961709976196,7.009585678577423,0.1738840751349926,9.04360318183899,1.946227490901947,0.6558928489685059,0.0,0.26304909586906433,1.3305614391962688,0.00908265938051045,0.0,0.16,hamiltonian_euler,0.2,12,0,0.0,True,1.0,warp,1.0,2.0,0.0001,64,gaussian
full,1,0.02857113629579544,branch_id_v3_controls,0.02,2.0,2,0.0,1.0,2.0,4,wave,7.581730621097904e-08,0.011431229766458273,0.0,0.0039042612770572305,0.8442801982164383,0.005059107585111633,1.3687966760045356e-08,0.006689282949082553,0.0007754077669233084,0.09049961064010859,0.07535520847886801,gabor_gaussian,2,1.0,64,1.0,0.16,1,0.0001,0.05,proxy_0.20_0.05,16,2,4,2,2.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_euler_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec0x0_tdgate1_tref0,False,1,0.05,910766,16,-2.0,0.0,0.05,,0.16,synthetic,1,0.5,-5.0,0.05,run,branch_id_v3_controls_wave_bicharacteristic_control_proxy_0p20_0p05_full_19_hamiltonian_euler_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_warp_0_0p0_True_0p0_2p0_0p01_0p05_1p0_2p0_2_2,1.747960000000603,wave_bicharacteristic_control,19,0.16,synthetic,True,8,0.0,0.01,0.0,0.05,0.016384245827794075,1.1802326440811157,1.0,0.0,1.9752504229545593,0.06895904056727886,0.0019507028628140688,16.136064529418945,0.07770336046814919,0.0,0.0,1.4525370001792908,0.001006231235805899,0.000998454401269555,4.251886860716196e-15,0.00012453955059754662,6.452917533650293e-09,6.452917533650293e-09,1.180230438709259,6.452917533650293e-09,0.0066878292709589005,1.183758020401001,1.1870198249816895,0.5334120665987333,0.5334120665987333,-0.01852619923010934,2.5734469890594482,8.808128833711255e-08,0.9024234712123871,0.25,1.0774961709976196,0.8258129060268402,0.18142106011509895,13.129936695098877,1.843013048171997,0.7214566171169281,0.0,0.3648701012134552,1.3301450113455455,0.010936671867966652,0.0,0.16,hamiltonian_euler,0.2,12,0,0.0,True,1.0,warp,1.0,2.0,0.0001,64,gaussian
