ablation,baseline_relative_l2,candidate_relative_l2,delta_packet_consistency,delta_phase_error,delta_relative_l2,delta_type,loss_config,scenario
no_dissipative,0.03188705211505294,0.03241498419083655,0.0011518303072080016,0.031953557497925056,0.0005279320757836103,ablation_vs_full,proxy_0.10_0.05,poisson_robin_control
no_pdo_identity,0.03188705211505294,0.0315284032581581,0.00024362345640030134,-0.0014175441530015487,-0.00035864885689483594,ablation_vs_full,proxy_0.10_0.05,poisson_robin_control
no_symbol,0.03188705211505294,0.03171968273818493,-0.0009582500335656927,0.04744022587935115,-0.00016736937686800957,ablation_vs_full,proxy_0.10_0.05,poisson_robin_control
no_transport,0.03188705211505294,0.034187335779683456,-0.0019339566998597645,0.14496689869297863,0.0023002836646305175,ablation_vs_full,proxy_0.10_0.05,poisson_robin_control
