ablation,family,loss_config,mean_final_train_canonical_consistency,mean_final_train_core_field_loss,mean_final_train_core_warmup_loss,mean_final_train_highfreq_core_loss,mean_final_train_packet_space_loss,mean_final_train_residual_energy,mean_final_train_route_l1,mean_final_train_symbol_order_loss,mean_final_train_symbol_proxy,mean_final_train_symbol_seminorm_loss,mean_final_train_transport_proxy,mean_runtime_seconds,mean_test_branch_diversity,mean_test_branch_entropy,mean_test_branch_spread,mean_test_branch_usage_max,mean_test_canonical_flow_error,mean_test_core_relative_l2,mean_test_dissipative_multiplier_mean,mean_test_dissipative_symbol_norm,mean_test_egorov_intertwining_proxy,mean_test_egorov_jacobian_self_proxy,mean_test_egorov_jacobian_target_proxy,mean_test_egorov_targeted_probe_proxy,mean_test_high_frequency_relative_error_proxy,mean_test_metadata_shift_norm,mean_test_packet_consistency,mean_test_packet_wavefront_localization_error,mean_test_pdo_identity_norm,mean_test_pdo_identity_order_proxy,mean_test_phase_error,mean_test_raw_refine_correction_norm,mean_test_refine_correction_norm,mean_test_refine_high_frequency_fraction,mean_test_refine_lowpass_removed_norm,mean_test_refine_relative_energy,mean_test_refinement_energy,mean_test_relative_l2,mean_test_residual_energy,mean_test_route_mean,mean_test_sobolev_h1_error_proxy,mean_test_sobolev_h2_error_proxy,mean_test_symbol_budget,mean_test_symbol_error_proxy,mean_test_symbol_order_proxy,mean_test_symbol_order_scaling_error_proxy,mean_test_symbol_seminorm_proxy,mean_test_symplectic_defect_proxy,mean_test_tokenizer_active_fraction,mean_test_tokenizer_covering_radius,mean_test_tokenizer_phase_window_diameter,mean_test_tokenizer_reconstruction_error,mean_test_transport_budget,mean_test_transported_input_norm,mean_test_transported_input_shift_norm,mean_test_transported_landing_gate,mean_test_transported_landing_norm,mean_test_transported_synthesis_shift_norm,mean_test_wavefront_confidence_proxy,mean_test_wf_transport_error_proxy,model_variant,regime,runs,scenario,std_final_train_canonical_consistency,std_final_train_core_field_loss,std_final_train_core_warmup_loss,std_final_train_highfreq_core_loss,std_final_train_packet_space_loss,std_final_train_residual_energy,std_final_train_route_l1,std_final_train_symbol_order_loss,std_final_train_symbol_proxy,std_final_train_symbol_seminorm_loss,std_final_train_transport_proxy,std_runtime_seconds,std_test_branch_diversity,std_test_branch_entropy,std_test_branch_spread,std_test_branch_usage_max,std_test_canonical_flow_error,std_test_core_relative_l2,std_test_dissipative_multiplier_mean,std_test_dissipative_symbol_norm,std_test_egorov_intertwining_proxy,std_test_egorov_jacobian_self_proxy,std_test_egorov_jacobian_target_proxy,std_test_egorov_targeted_probe_proxy,std_test_high_frequency_relative_error_proxy,std_test_metadata_shift_norm,std_test_packet_consistency,std_test_packet_wavefront_localization_error,std_test_pdo_identity_norm,std_test_pdo_identity_order_proxy,std_test_phase_error,std_test_raw_refine_correction_norm,std_test_refine_correction_norm,std_test_refine_high_frequency_fraction,std_test_refine_lowpass_removed_norm,std_test_refine_relative_energy,std_test_refinement_energy,std_test_relative_l2,std_test_residual_energy,std_test_route_mean,std_test_sobolev_h1_error_proxy,std_test_sobolev_h2_error_proxy,std_test_symbol_budget,std_test_symbol_error_proxy,std_test_symbol_order_proxy,std_test_symbol_order_scaling_error_proxy,std_test_symbol_seminorm_proxy,std_test_symplectic_defect_proxy,std_test_tokenizer_active_fraction,std_test_tokenizer_covering_radius,std_test_tokenizer_phase_window_diameter,std_test_tokenizer_reconstruction_error,std_test_transport_budget,std_test_transported_input_norm,std_test_transported_input_shift_norm,std_test_transported_landing_gate,std_test_transported_landing_norm,std_test_transported_synthesis_shift_norm,std_test_wavefront_confidence_proxy,std_test_wf_transport_error_proxy
full,poisson_robin,proxy_0.10_0.05,0.0,0.001276418278292921,0.0,0.00042941307694693224,0.3498590977655517,7.324219783136046e-09,0.0064599133555829115,0.0005461832528840218,0.2873037179104156,0.339134502535065,0.044158471230831414,1985.691836900005,0.0,0.0,0.0,1.0,0.011019675086976754,0.031886806452853814,0.4927639085109587,0.4033750200437175,0.0,0.0,0.0,0.0,0.5693322428398662,0.011019675086976754,0.009891383815556765,0.01323278858843777,0.061400139014478085,-0.7761881135542084,1.2589713219139311,0.008379849650534905,0.008371010325693836,1.7472640622822684e-14,0.0003460637267885937,2.5651969846113904e-09,2.5651969846113904e-09,0.03188705211505294,2.5651969846113904e-09,0.0066400768183585675,0.03171485802158713,0.032084489655163556,0.3032891628228956,0.3032891628228956,3.4771382127440215e-05,0.904798557360967,0.34670419101085925,0.0,0.9999803105990092,0.0833333432674408,1.3031495809555054,4.563807348410289,0.19834382011106721,5.006469037797716,4.554203887780508,0.03919466993668013,0.4225730980849928,16.739384439256455,1.3285561159805015,0.00031210035376716405,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0.1_diss0.1_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec1x16_tdgate1_tref0_br1_brroutemetadata_softmax_brent0_brdiv0,control,3,poisson_robin_control,0.0,5.6464824082166195e-05,0.0,4.49902255136685e-05,0.041551582340981115,7.365494339225902e-09,1.8144218914944124e-07,8.118087034309465e-05,0.07211072922748288,0.23063865067251133,1.8205203956551954e-05,281.24365645310047,0.0,0.0,0.0,0.0,0.0016891128905343745,0.0021537730958653255,0.005066897966383719,0.001150245483984794,0.0,0.0,0.0,0.0,0.12771879980315998,0.0016891128905343745,0.0017668257243467233,0.00011489738234726304,0.011031813740501797,0.12083156285213063,0.0695435235650602,0.006003461715723388,0.006004748313736794,9.71388206993905e-16,0.00012113462674939655,2.973453778997623e-09,2.973453778997623e-09,0.0021538521727559037,2.973453778997623e-09,4.833518127894508e-05,0.002211152227090645,0.002164975852278155,0.006761420630685615,0.006761420630685615,0.0036759054710014017,0.21001912549593454,0.07841607924228768,0.0,0.0,0.0,0.0,0.0,0.01995191830187542,0.670362519980076,0.49597728453819384,0.003408713790718655,0.24870332365946693,11.439614266764002,0.0021036327136190053,3.891865558316865e-05
no_dissipative,poisson_robin,proxy_0.10_0.05,0.0,0.0012548859058369999,0.0,0.00039387667235738866,0.3575800306474169,4.1808538922549765e-09,0.006461370993444386,0.0006125251194737761,0.3167295684106648,0.19021121071030694,0.04418946010991931,2074.178782050003,0.0,0.0,0.0,1.0,0.012073947698809206,0.0324175061347584,1.0,0.0,0.0,0.0,0.0,0.0,0.7347615920007229,0.012073947698809206,0.011043214122764766,0.01383605389855802,0.06622897753388518,-0.7988011410666837,1.2909248794118562,0.008471471723169088,0.0083934517557888,1.6608486186853405e-14,0.001123233298130799,2.382130019860466e-09,2.382130019860466e-09,0.03241498419083655,2.382130019860466e-09,0.006520739484888812,0.032351939007639885,0.032815523290385805,0.28316541636983555,0.28316541636983555,-0.019107602717768814,1.444493127365907,0.3651541844010353,0.0,0.9999803105990092,0.0833333432674408,1.3031495809555054,4.563807348410289,0.24828751768089002,5.0562404592831935,4.693947533766428,0.04262278446306785,1.4010942553480468,55.349203268686935,1.3255077832274966,0.00027583562011083507,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0.1_diss0.1_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec1x16_tdgate1_tref0_br1_brroutemetadata_softmax_brent0_brdiv0,control,2,poisson_robin_control,0.0,0.00012691861154510504,0.0,3.528517509361184e-05,0.03434420376316123,2.3360898323919915e-09,2.5354580942810925e-06,0.00035027041493996283,0.1276656800033644,0.0879729728950567,9.33585621741702e-06,54.52548918468021,0.0,0.0,0.0,0.0,0.0008437881938731565,0.0017279716176233943,0.0,0.0,0.0,0.0,0.0,0.0,0.08079407033417843,0.0008437881938731565,0.0022416783160622965,0.000801353726048401,0.0025987008124394107,0.05207613733101407,0.0042681656896124045,0.005813050299730241,0.0057382241266684345,5.164885547621961e-15,0.0009444348303880597,2.6280058038497468e-09,2.6280058038497468e-09,0.001725862409321742,2.6280058038497468e-09,6.547842188421379e-05,0.0022115458986763314,0.0022515500628730845,0.03522217252068255,0.03522217252068255,0.015054071315257165,0.040721326190422194,0.04775613511534361,0.0,0.0,0.0,0.0,0.0,0.011944938874267336,0.6720666218799642,0.4080212521125493,0.002745955425448816,0.3994900169897573,15.816920334952908,0.0022713077152015306,4.1517651250028e-06
no_pdo_identity,poisson_robin,proxy_0.10_0.05,0.0,0.0012066558772656007,0.0,0.0003762438536796253,0.34918042748338646,7.650031737712244e-09,0.0064597080021889675,0.0005787448102634873,0.30357847673197585,0.3365804802419411,0.04415025502546794,1991.7629294666742,0.0,0.0,0.0,1.0,0.011496093072411086,0.0315279691066179,0.4917254086445879,0.403509263087202,0.0,0.0,0.0,0.0,0.6056117241581281,0.011496093072411086,0.010135007271957066,0.013295989535335038,0.0,-7.944046277094153e-13,1.2575537777609296,0.009469489877422651,0.00945562586033096,1.5601574535548475e-14,0.0004978815539086807,3.1479552221109266e-09,3.1479552221109266e-09,0.0315284032581581,3.1479552221109266e-09,0.006608704881121715,0.03139840175087253,0.031781565501458116,0.30135731868169924,0.30135731868169924,0.005676726643287111,1.2430929640928905,0.36601584742742554,0.0,0.9999803105990092,0.0833333432674408,1.3031495809555054,4.563807348410289,0.22423759799588608,5.034425245390998,4.552051703135173,0.040050039843966566,0.8068363815546036,20.40632496939765,1.3278579745027754,0.0003075751995614458,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0.1_diss0.1_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec1x16_tdgate1_tref0_br1_brroutemetadata_softmax_brent0_brdiv0,control,3,poisson_robin_control,0.0,0.00013986720300589268,0.0,0.00012441051059072287,0.04224783440912642,7.299045106937061e-09,1.7155657182957392e-07,0.00032214734144724695,0.09662614134654465,0.2701824923068703,1.071511478615e-05,118.40246980368826,0.0,0.0,0.0,0.0,0.002452289420381334,0.0014151098512187232,0.00532062475344987,0.0016543547177038734,0.0,0.0,0.0,0.0,0.06357012857584632,0.002452289420381334,0.002284345077144928,0.0006203997006946145,0.0,3.153864104059831e-13,0.0856400359155382,0.006223784702833226,0.006215475594835575,2.2220976893497877e-15,0.0003130851221855415,3.809722614919882e-09,3.809722614919882e-09,0.001413080046622247,3.809722614919882e-09,6.513435060003613e-05,0.0013112291159825546,0.0012789821943935066,0.017417830202427122,0.017417830202427122,0.001354917577904013,0.09465798832114575,0.07844151689645368,0.0,0.0,0.0,0.0,0.0,0.03661021520512333,0.6643696945571271,0.5461307551194144,0.00415139485491295,0.16260315000039202,2.9864553135973866,0.002811386093184797,4.546605777992719e-05
no_symbol,poisson_robin,proxy_0.10_0.05,0.0,0.0012991574949410278,0.0,0.0004513048324446977,0.34342333094941246,1.0252875963358122e-08,0.006459455235421451,1.05238500848216e-24,0.3501182977731029,0.0,0.04416894082290431,1809.8363879666722,0.0,0.0,0.0,1.0,0.011835813962130083,0.03172103724338942,0.49179605918901936,0.4097649105996997,0.0,0.0,0.0,0.0,0.6345429652267032,0.011835813962130083,0.008933133781991072,0.013037055291028487,0.1070752299942628,-0.752194885772446,1.3064115477932823,0.014879658119753003,0.01483495993953612,1.786552019709196e-14,0.0010786177525814208,7.1384953473055095e-09,7.1384953473055095e-09,0.03171968273818493,7.1384953473055095e-09,0.006535654072649777,0.031718830578029156,0.03212802246626881,0.0,0.0,-7.125998568321498e-13,1.169882277647654,0.0,0.0,0.9999803105990092,0.0833333432674408,1.3031495809555054,4.563807348410289,0.24919595189944463,5.12512410349316,4.761132637659709,0.0415196783012814,1.3149397770563762,19.42850062582228,1.3308451407485538,0.0002882246493148462,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0.1_diss0.1_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec1x16_tdgate1_tref0_br1_brroutemetadata_softmax_brent0_brdiv0,control,3,poisson_robin_control,0.0,0.00014450653856169172,0.0,0.00011838905220103044,0.011066027124032454,9.5514737702796e-09,2.0996053084573124e-07,3.6177146422903175e-25,0.06299301518649954,0.0,1.4426070627628715e-05,232.1205830341119,0.0,0.0,0.0,0.0,0.0021745726913456154,0.0018795185615552914,0.004323411287964564,0.007568737865130923,0.0,0.0,0.0,0.0,0.11642885873296768,0.0021745726913456154,0.0007176201040536283,0.00020745575139354623,0.032153148457239045,0.22029299252089996,0.07838954652107616,0.007879198291972691,0.007884417534770543,3.779673454129257e-15,0.0002882635270497701,5.756188726329606e-09,5.756188726329606e-09,0.0018793448599327106,5.756188726329606e-09,1.5130544257803014e-07,0.0020030873226749577,0.002080766622032794,0.0,0.0,1.196033095277215e-13,0.21210883137326314,0.0,0.0,0.0,0.0,0.0,0.0,0.049394276874184524,0.48650054593833975,0.34567913679716894,0.002468171067313474,0.18436011727395651,13.71481149124031,0.0011532667093672822,3.425225440191083e-05
no_transport,poisson_robin,proxy_0.10_0.05,0.0,0.0013475755010100936,0.0,0.000503668123757153,0.3403649224589268,6.382805464413524e-08,0.006459630854401944,0.0004560942786363665,0.4283837514619033,0.11258808021537133,0.04410579950652189,77.52826053332926,0.0,0.0,0.0,1.0,0.0,0.0341928917914629,0.49209894253699865,0.4043793794181612,0.0,0.0,0.0,0.0,0.9695134609937668,0.0,0.007957427115697,0.01306594305464791,0.06338320281011639,-0.6884117329286205,1.4039382206069098,0.05117229868968328,0.051134690228435725,1.8090181522077993e-14,0.001880043545194591,7.187829649997943e-08,7.187829649997943e-08,0.034187335779683456,7.187829649997943e-08,0.006454229639429185,0.03441293889449702,0.03508033401643236,0.30227467735056524,0.30227467735056524,-0.006066328058699987,1.4673325187630124,0.3304119936569973,0.0,0.9999803105990092,0.0833333432674408,1.3031495809555054,4.563807348410289,0.0,2.4834435681502023,3.244292237367416e-05,0.037188584502372474,1.4034089710977342,4.487073858348998e-06,0.0,0.0003780642429976271,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0.1_diss0.1_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec1x16_tdgate1_tref0_br1_brroutemetadata_softmax_brent0_brdiv0,control,3,poisson_robin_control,0.0,7.787767038415857e-05,0.0,3.167999433066236e-05,0.00014252549029851008,1.5907137697804134e-08,5.461246248415028e-08,0.00018908414351055468,0.002379058659506411,0.0322671196109467,2.3710312141730246e-10,16.197473784319616,0.0,0.0,0.0,0.0,0.0,0.0005394433951109943,0.001212887503672557,0.0016394607108260815,0.0,0.0,0.0,0.0,0.014760622368794421,0.0,0.0001506728106468876,0.0004442735800668516,0.00729676943054737,0.2585014871257215,0.02879942747912672,0.006030806155891249,0.0060264184647026734,2.3531486195164305e-15,0.00044424146725923093,1.727022612583956e-08,1.727022612583956e-08,0.0005347781296931313,1.727022612583956e-08,1.752927383498779e-05,0.0003517559548830491,0.00034128959849743953,0.013452002335434117,0.013452002335434117,0.0030060322745804322,0.5112407330082699,0.04223167062903246,0.0,0.0,0.0,0.0,0.0,0.0,0.0009762805126453853,1.4156394545955423e-07,0.0009245558628900804,0.12556581728444957,6.955206668316561e-07,0.0,1.3057948284930376e-05
