ablation,family,loss_config,mean_final_train_canonical_consistency,mean_final_train_core_field_loss,mean_final_train_core_warmup_loss,mean_final_train_helmholtz_residual_loss,mean_final_train_highfreq_core_loss,mean_final_train_packet_space_loss,mean_final_train_residual_energy,mean_final_train_route_l1,mean_final_train_symbol_identity_loss,mean_final_train_symbol_order_loss,mean_final_train_symbol_proxy,mean_final_train_symbol_seminorm_loss,mean_final_train_transport_proxy,mean_runtime_seconds,mean_test_branch_diversity,mean_test_branch_entropy,mean_test_branch_spread,mean_test_branch_usage_max,mean_test_canonical_flow_error,mean_test_core_relative_l2,mean_test_dissipative_multiplier_mean,mean_test_dissipative_symbol_norm,mean_test_edge_symbol_deviation_proxy,mean_test_egorov_intertwining_proxy,mean_test_egorov_jacobian_self_proxy,mean_test_egorov_jacobian_target_proxy,mean_test_egorov_targeted_probe_proxy,mean_test_helmholtz_complex_latent_imag_energy_proxy,mean_test_helmholtz_outgoing_flux_proxy,mean_test_helmholtz_outgoing_gate_proxy,mean_test_helmholtz_resolvent_envelope_proxy,mean_test_helmholtz_resolvent_imag_proxy,mean_test_helmholtz_resolvent_real_proxy,mean_test_helmholtz_shell_center_proxy,mean_test_helmholtz_shell_distance_proxy,mean_test_high_frequency_relative_error_proxy,mean_test_local_tube_coordinate_norm,mean_test_metadata_shift_norm,mean_test_packet_consistency,mean_test_packet_wavefront_localization_error,mean_test_pdo_identity_norm,mean_test_pdo_identity_order_proxy,mean_test_phase_error,mean_test_raw_refine_correction_norm,mean_test_refine_correction_norm,mean_test_refine_high_frequency_fraction,mean_test_refine_lowpass_removed_norm,mean_test_refine_relative_energy,mean_test_refinement_energy,mean_test_relative_l2,mean_test_residual_energy,mean_test_route_mean,mean_test_sobolev_h1_error_proxy,mean_test_sobolev_h2_error_proxy,mean_test_symbol_budget,mean_test_symbol_error_proxy,mean_test_symbol_order_proxy,mean_test_symbol_order_scaling_error_proxy,mean_test_symbol_seminorm_proxy,mean_test_symplectic_defect_proxy,mean_test_tokenizer_active_fraction,mean_test_tokenizer_covering_radius,mean_test_tokenizer_phase_window_diameter,mean_test_tokenizer_reconstruction_error,mean_test_transport_budget,mean_test_transported_input_norm,mean_test_transported_input_shift_norm,mean_test_transported_landing_gate,mean_test_transported_landing_norm,mean_test_transported_synthesis_shift_norm,mean_test_wavefront_confidence_proxy,mean_test_wf_transport_error_proxy,model_variant,regime,runs,scenario,std_final_train_canonical_consistency,std_final_train_core_field_loss,std_final_train_core_warmup_loss,std_final_train_helmholtz_residual_loss,std_final_train_highfreq_core_loss,std_final_train_packet_space_loss,std_final_train_residual_energy,std_final_train_route_l1,std_final_train_symbol_identity_loss,std_final_train_symbol_order_loss,std_final_train_symbol_proxy,std_final_train_symbol_seminorm_loss,std_final_train_transport_proxy,std_runtime_seconds,std_test_branch_diversity,std_test_branch_entropy,std_test_branch_spread,std_test_branch_usage_max,std_test_canonical_flow_error,std_test_core_relative_l2,std_test_dissipative_multiplier_mean,std_test_dissipative_symbol_norm,std_test_edge_symbol_deviation_proxy,std_test_egorov_intertwining_proxy,std_test_egorov_jacobian_self_proxy,std_test_egorov_jacobian_target_proxy,std_test_egorov_targeted_probe_proxy,std_test_helmholtz_complex_latent_imag_energy_proxy,std_test_helmholtz_outgoing_flux_proxy,std_test_helmholtz_outgoing_gate_proxy,std_test_helmholtz_resolvent_envelope_proxy,std_test_helmholtz_resolvent_imag_proxy,std_test_helmholtz_resolvent_real_proxy,std_test_helmholtz_shell_center_proxy,std_test_helmholtz_shell_distance_proxy,std_test_high_frequency_relative_error_proxy,std_test_local_tube_coordinate_norm,std_test_metadata_shift_norm,std_test_packet_consistency,std_test_packet_wavefront_localization_error,std_test_pdo_identity_norm,std_test_pdo_identity_order_proxy,std_test_phase_error,std_test_raw_refine_correction_norm,std_test_refine_correction_norm,std_test_refine_high_frequency_fraction,std_test_refine_lowpass_removed_norm,std_test_refine_relative_energy,std_test_refinement_energy,std_test_relative_l2,std_test_residual_energy,std_test_route_mean,std_test_sobolev_h1_error_proxy,std_test_sobolev_h2_error_proxy,std_test_symbol_budget,std_test_symbol_error_proxy,std_test_symbol_order_proxy,std_test_symbol_order_scaling_error_proxy,std_test_symbol_seminorm_proxy,std_test_symplectic_defect_proxy,std_test_tokenizer_active_fraction,std_test_tokenizer_covering_radius,std_test_tokenizer_phase_window_diameter,std_test_tokenizer_reconstruction_error,std_test_transport_budget,std_test_transported_input_norm,std_test_transported_input_shift_norm,std_test_transported_landing_gate,std_test_transported_landing_norm,std_test_transported_synthesis_shift_norm,std_test_wavefront_confidence_proxy,std_test_wf_transport_error_proxy
full,helmholtz_highk,proxy_0.20_0.05,0.0,0.27080145767993397,0.0,0.9929793344603645,0.2554745682411724,0.11905955968217717,9.450401947301414e-10,0.006611295096162293,3.4684599086176604e-05,0.22267335642148584,0.5536049455404282,18.959480073716904,0.047705419775512486,1442.1194452999964,0.4281348983446757,0.5370299518108368,0.0002067238368302545,0.6850600788990656,0.00010473849882449333,0.5100979655981064,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011264723007722447,0.017013326946956415,0.6322846611340841,2.9963377714157104,1.5929993689060211,2.356773873170217,0.13695737222830454,0.4057472397883733,90.42120297749837,0.003680959363312771,0.00010473849882449333,0.3340165416399638,0.09587129950523376,0.0,-1.0386340383489584e-12,1.578826129436493,0.007428616634570062,0.005283903679810464,1.055900426496182e-14,0.0051467886272196966,1.028412154336263e-09,1.028412154336263e-09,0.5100948413213094,1.028412154336263e-09,0.006606219569221139,0.5144197543462118,0.5170225550731024,1.3117723216613133,1.3117723216613133,0.08530965346532564,1.184381405512492,4.209041794141133,0.0,1.0,0.06916699558496475,1.3623838424682617,0.7575347373882929,0.4008091501891613,73.24088096618652,0.37278750787178677,0.864376371105512,31.22466516494751,0.5940312594175339,1.3416190793116887,0.044276905711740255,MiNO-Plus_wingaussian_modshell_balanced_K3_modes6_patch16_ref0.03_rlp0.12_hfc0.12_rb-5_pdo0_diss0_symord0_symparhelmholtz_resolvent_hrad0_href1_heta0.08_hcap8_hres0.015_hk12_cplx0.03_cphase0.01_symid0.001_wfconf2.5_trhamiltonian_verlet_framedirectional_gabor_sparse1_sklp0.12_tsyn1_tin1_tsmwarp_tdec1x8_tdgate1_tref0_br2_brroutemetadata_frequency_softmax_brprior1.5_brent0.03_brdiv0.05_edgesymnone_edgestr0.5,positive,3,helmholtz_highk_positive,0.0,0.015688655730241457,0.0,0.00014911957787651614,0.017003915309134615,0.003252508019310072,1.071475081218019e-09,2.139951040258073e-06,1.780927451672606e-06,0.04106988411993236,0.0026683093724833005,0.9648669840926869,2.3711439895573657e-06,1.4690899513553137,0.01937014834876662,0.013057637114518517,3.7601371317705825e-05,0.0284133281692188,1.7981840903212466e-05,0.015685263164782155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027947537954618753,0.0067875884602455,0.0029256227976755082,0.03586842557858028,0.03228268501860713,0.08062455577395827,0.0010724030122116657,0.0007301362607195015,2.5920991204927417,1.2695075181403029e-05,1.7981840903212466e-05,0.009943649263115448,0.006532631360898011,0.0,9.734804991478457e-13,0.03433574935043895,0.005128053377306213,0.0037446932875271287,8.118510618057827e-16,0.0036362477834154232,1.159614093621608e-09,1.159614093621608e-09,0.015688066295298002,1.159614093621608e-09,1.6827922715568897e-06,0.014682062381057672,0.014732708873929518,0.05233852712882274,0.05233852712882274,0.13774800933039003,0.09835031314847624,0.11956217663467616,0.0,0.0,0.0,0.0,4.6078829541961295e-05,0.027115211083892858,0.11217844538473398,0.036564199804282625,0.0009542981067111385,7.120207493638065,0.23762243018181675,0.0020550850747080955,0.00454928015692315
no_branch_routing,helmholtz_highk,proxy_0.20_0.05,0.0,0.27217381447553635,0.0,0.9930177844232984,0.25701359493864906,0.12034126743674278,8.393120949403329e-10,0.006611112880313562,3.494192383691875e-05,0.2227698619179945,0.5585128822260432,17.337923818164402,0.047711059347622924,1440.0142067999986,0.5,0.6931471824645996,0.00028488412074996933,0.5,4.636080757336458e-05,0.5109317377209663,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014226417290046811,0.016018208911797654,0.6319606602191925,2.987326979637146,1.5837288349866867,2.3631483217080436,0.13732524526615938,0.40582913781205815,90.34222030639648,0.003692637876762698,4.636080757336458e-05,0.3329193890094757,0.09293286129832268,0.0,-1.6134893635016071e-12,1.5807127853234608,0.007248269005989035,0.005076480534626171,1.033038439031853e-14,0.0050847103508810205,9.352327063824606e-10,9.352327063824606e-10,0.5109287798404694,9.352327063824606e-10,0.00660630587177972,0.5152346069614092,0.5178518568476042,1.2568768834074338,1.2568768834074338,0.10084458207711577,1.1602723201115925,4.050034041206042,0.0,1.0,0.06916699558496475,1.3623838424682617,0.7575104335943857,0.3228655190517505,73.25715446472168,0.2903563429911931,0.8638862868150076,31.545557339986164,0.7843386431535085,1.3400296022494633,0.04428448202088475,MiNO-Plus_wingaussian_modshell_balanced_K3_modes6_patch16_ref0.03_rlp0.12_hfc0.12_rb-5_pdo0_diss0_symord0_symparhelmholtz_resolvent_hrad0_href1_heta0.08_hcap8_hres0.015_hk12_cplx0.03_cphase0.01_symid0.001_wfconf2.5_trhamiltonian_verlet_framedirectional_gabor_sparse1_sklp0.12_tsyn1_tin1_tsmwarp_tdec1x8_tdgate1_tref0_br2_brroutemetadata_frequency_softmax_brprior1.5_brent0.03_brdiv0.05_edgesymnone_edgestr0.5,positive,3,helmholtz_highk_positive,0.0,0.017881147512672935,0.0,0.0002014126168527888,0.018712060164109375,0.0054313579582147675,8.935909500086314e-10,3.4411497083270007e-06,5.941200041928706e-06,0.05823894078481986,0.004353172383244862,1.218922080275987,5.1511820482671805e-06,0.7942809160913885,0.0,0.0,3.231012101174874e-05,0.0,1.2940356375208933e-05,0.017788276740282362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002025427729486597,0.005858004872836845,0.002524848174865977,0.03514076498915553,0.034348237735044196,0.11808783111538464,0.0003058433319380522,0.000349568704044845,1.8650371923471938,6.6492108668474895e-06,1.2940356375208933e-05,0.02351490436049729,0.00704172668322935,0.0,1.554677055225144e-12,0.03460216428807748,0.004909668550667697,0.0034712309295549014,2.8779639108029085e-16,0.0036288124314335815,1.011508894785339e-09,1.011508894785339e-09,0.017790407947180627,1.011508894785339e-09,3.233797613636402e-06,0.01687858583779509,0.016887217534846448,0.03259291943076674,0.03259291943076674,0.00530787162502928,0.10366688845085927,0.1487283214440275,0.0,0.0,0.0,0.0,0.00010963828591133567,0.04321499197026292,0.04621256161514761,0.12612016260186118,0.00018648871419339735,6.91910275312775,0.370345423080037,0.0015552051129461637,0.0033817982271969037
no_landing_decoder,helmholtz_highk,proxy_0.20_0.05,0.0,0.35041902710994083,0.0,0.9928137362003326,0.3343523057798545,0.12260205981632073,8.862571961032462e-11,0.006615419639274478,3.407908570807194e-05,0.21989054197124838,0.5386263901988665,23.808595498402912,0.04770340118557215,1465.4832757999993,0.44766899198293686,0.5497589632868767,0.00020499027959886007,0.6573091298341751,0.00012487789717852138,0.5893877744674683,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009868122811894864,0.011569180758669972,0.630061186850071,2.9989781379699707,1.597868651151657,2.3516323566436768,0.13608041778206825,0.40617426112294197,102.51486396789551,0.003689825942274183,0.00012487789717852138,0.41864219307899475,0.10847494751214981,0.0,-4.8022488051836353e-14,1.5296591818332672,0.003004401456564665,0.0011531331692822278,1.787020920678711e-14,0.0027277255430817604,4.476439705025648e-11,4.476439705025648e-11,0.5893873125314713,4.476439705025648e-11,0.0066103104036301374,0.5920380502939224,0.5946984738111496,1.487783819437027,1.487783819437027,0.2021385040716268,1.4997529983520508,4.73457258939743,0.0,1.0,0.06916699558496475,1.3623838424682617,0.7575881779193878,0.3490609675645828,73.05884742736816,0.27742014825344086,0.869928702712059,0.0,0.9710276424884796,1.3390061408281326,0.06939467042684555,MiNO-Plus_wingaussian_modshell_balanced_K3_modes6_patch16_ref0.03_rlp0.12_hfc0.12_rb-5_pdo0_diss0_symord0_symparhelmholtz_resolvent_hrad0_href1_heta0.08_hcap8_hres0.015_hk12_cplx0.03_cphase0.01_symid0.001_wfconf2.5_trhamiltonian_verlet_framedirectional_gabor_sparse1_sklp0.12_tsyn1_tin1_tsmwarp_tdec1x8_tdgate1_tref0_br2_brroutemetadata_frequency_softmax_brprior1.5_brent0.03_brdiv0.05_edgesymnone_edgestr0.5,positive,1,helmholtz_highk_positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_transport,helmholtz_highk,proxy_0.20_0.05,0.0,0.2745570234126515,0.0,0.9930164366960526,0.25824324414134026,0.1310800609903203,1.3475385851536354e-09,0.006605127515892187,0.0,0.19160186294660284,0.577937507794963,19.00096723768446,0.047739120510717235,84.30895539999862,0.41859466085831326,0.5266310212512811,0.0,0.6976958736777306,3.396188071510172e-08,0.5119400645295779,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009443814798335856,0.005316135085498293,0.6272806525230408,3.0123548408349357,1.6071970909833908,2.466741373141607,0.13728020153939724,0.40623584513862926,89.35753440856934,0.0,3.396188071510172e-08,0.33599793662627536,0.09713807205359141,0.0,-3.6158765145839302e-12,1.5673831403255463,0.008791593466109285,0.006405400985386223,9.507304793658752e-15,0.005925912390618275,1.5122603250668683e-09,1.5122603250668683e-09,0.5119358425339063,1.5122603250668683e-09,0.006599564648543795,0.516512468457222,0.519104207555453,1.3474044625957806,1.3474044625957806,0.13849423391123614,1.4235817392667134,4.278204560279846,0.0,1.0,0.06916699558496475,1.3623838424682617,0.7574828863143921,0.0,73.6789156595866,0.0001889592397977443,0.8617003311713537,33.39939753214518,9.43894695713728e-05,0.0,0.044921785748253264,MiNO-Plus_wingaussian_modshell_balanced_K3_modes6_patch16_ref0.03_rlp0.12_hfc0.12_rb-5_pdo0_diss0_symord0_symparhelmholtz_resolvent_hrad0_href1_heta0.08_hcap8_hres0.015_hk12_cplx0.03_cphase0.01_symid0.001_wfconf2.5_trhamiltonian_verlet_framedirectional_gabor_sparse1_sklp0.12_tsyn1_tin1_tsmwarp_tdec1x8_tdgate1_tref0_br2_brroutemetadata_frequency_softmax_brprior1.5_brent0.03_brdiv0.05_edgesymnone_edgestr0.5,positive,3,helmholtz_highk_positive,0.0,0.019378725183787103,0.0,0.00013617533021474326,0.02032000241238765,0.0047148319155483984,1.5741033660670894e-09,5.605928223351422e-06,0.0,0.020678580792498534,0.007251409051009734,1.1399886520005855,0.0,35.6142664483171,0.014841396027332808,0.010454675262892557,0.0,0.01884571520904653,5.282054854630148e-10,0.019204089268293267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027335747733866463,4.2108458804841126e-10,0.0,0.014567298241034879,0.014761948127680714,0.04392894960110294,0.00021874470282531774,0.00012939085937510857,3.466520650104928,0.0,5.282054854630148e-10,0.01933139699886387,0.010832922133629472,0.0,6.266606272918035e-13,0.028713583947898375,0.006302299070513315,0.0045827329740280864,1.5477465088224715e-15,0.004490699472312991,1.7569823517569324e-09,1.7569823517569324e-09,0.019207486223215796,1.7569823517569324e-09,5.470943166293451e-06,0.018163706882451405,0.018208204077300727,0.03787535711296505,0.03787535711296505,0.01588041701911911,0.1531030029569043,0.1345415792190931,0.0,0.0,0.0,0.0,9.538824093740028e-05,0.0,0.1465576084718636,3.4408149019262456e-07,0.0018122058707955818,7.982822865347665,4.323688055158109e-06,0.0,0.0055333719436882626
no_transported_input_carrier,helmholtz_highk,proxy_0.20_0.05,0.0,0.9361256460348765,0.0,1.0070692168341744,0.9049207286702262,0.24772695327798525,7.792928545368107e-11,0.006602452408211927,0.0,122.87288581000435,0.7469504906071557,11.344625843895807,0.04769246932119131,1613.4102132666692,0.37669599056243896,0.49186282604932785,0.00028866716638731305,0.7468960707386335,0.0004101977004514386,0.9835933297872543,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029905798292020336,0.6263091017802557,2.7675989468892417,1.3785191476345062,2.323618392149607,0.14284367362658182,0.40764202922582626,0.9999998857577642,0.003666713940522944,0.0004101977004514386,0.8718476444482803,0.2005770578980446,0.0,-1.591167296437198e-12,1.4680715650320053,0.001142565345314021,0.0011390634839093157,1.2156391759987986e-14,6.635758063566755e-05,5.0769862268075214e-11,5.0769862268075214e-11,0.9835930516322454,5.0769862268075214e-11,0.006598226920080681,0.9837444027264913,0.9838740328947703,0.938833512365818,0.938833512365818,11.063200831413269,0.9478357235590616,3.3456750412782035,0.0,1.0,0.06916699558496475,1.3623838424682617,0.7600355595350266,0.11476896082361539,0.0,0.0,0.0,0.0,0.0,1.3422363847494125,0.09749542207767566,MiNO-Plus_wingaussian_modshell_balanced_K3_modes6_patch16_ref0.03_rlp0.12_hfc0.12_rb-5_pdo0_diss0_symord0_symparhelmholtz_resolvent_hrad0_href1_heta0.08_hcap8_hres0.015_hk12_cplx0.03_cphase0.01_symid0.001_wfconf2.5_trhamiltonian_verlet_framedirectional_gabor_sparse1_sklp0.12_tsyn1_tin1_tsmwarp_tdec1x8_tdgate1_tref0_br2_brroutemetadata_frequency_softmax_brprior1.5_brent0.03_brdiv0.05_edgesymnone_edgestr0.5,positive,3,helmholtz_highk_positive,0.0,3.222996968356152e-05,0.0,4.190780011637772e-05,2.8677298302015685e-09,0.0,8.457274603430041e-11,5.41577929572569e-08,0.0,18.24229672168063,8.774266440254568e-06,1.8527234954157235,1.2873420024389788e-05,17.680719125937365,0.0016685167352396431,0.0011431821123447906,4.065378722946544e-05,0.0003855913274346542,0.0001983294902734389,4.5758212498540275e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005951086875617079,0.0026836989612571737,0.024894648366987165,0.02138453390438326,0.08880944128944607,0.0009358168476965483,0.0008523904847825157,5.2331158284608217e-08,1.4951554604942161e-05,0.0001983294902734389,4.241440357154485e-05,1.9734793831706232e-05,0.0,1.5163021012194253e-12,0.0022368386421134107,0.0009018207763812009,0.0009041363819879723,3.7301308217814944e-15,2.2099207739065512e-05,6.617564913949721e-11,6.617564913949721e-11,4.70533118621242e-06,6.617564913949721e-11,4.526360853710846e-08,4.670351345505915e-06,4.620617585087509e-06,0.06363278266671243,0.06363278266671243,0.8292160862769681,4.093204775540528e-05,0.26955970323123674,0.0,0.0,0.0,0.0,0.0,0.0020967036492522046,0.0,0.0,0.0,0.0,0.0,0.0014076030730151758,2.51844250291722e-06
single_branch,helmholtz_highk,proxy_0.20_0.05,0.0,0.2685600308080514,0.0,0.9929648770226372,0.25371675483054584,0.11624633293184969,8.975177933033077e-10,0.006610600549417238,2.570729869451801e-05,0.23788431225693785,0.5512043957908949,21.191670444276596,0.0477082941474186,1440.7719874000031,0.0,1.9004802425115486e-06,0.000186431420994874,1.0,7.47195778482516e-05,0.5087498600284258,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015509146944774935,0.06100361897066856,0.6489460418621699,2.9583134253819785,1.5577098826567333,2.2698901096979776,0.13728870389362177,0.40557998418807983,91.49337577819824,0.003693089645821601,7.47195778482516e-05,0.33997684965531033,0.0965652825931708,0.0,-2.3517910354805543e-12,1.5725604097048442,0.007245113762716453,0.005087004402109112,1.2083047706480828e-14,0.005094749154523015,9.75347083769414e-10,9.75347083769414e-10,0.5087470685442289,9.75347083769414e-10,0.006605609591739873,0.5128123636047045,0.515476276477178,1.4247087091207504,1.4247087091207504,0.04644369190403571,1.1632031798362732,4.4905624488989515,0.0,1.0,0.06916699558496475,1.3623838424682617,0.7575111041466395,0.5332351115842661,73.26064682006836,0.31515578739345074,0.8648437758286794,30.898027737935383,0.1948128535101811,1.3400307496388753,0.04454541470234593,MiNO-Plus_wingaussian_modshell_balanced_K3_modes6_patch16_ref0.03_rlp0.12_hfc0.12_rb-5_pdo0_diss0_symord0_symparhelmholtz_resolvent_hrad0_href1_heta0.08_hcap8_hres0.015_hk12_cplx0.03_cphase0.01_symid0.001_wfconf2.5_trhamiltonian_verlet_framedirectional_gabor_sparse1_sklp0.12_tsyn1_tin1_tsmwarp_tdec1x8_tdgate1_tref0_br2_brroutemetadata_frequency_softmax_brprior1.5_brent0.03_brdiv0.05_edgesymnone_edgestr0.5,positive,3,helmholtz_highk_positive,0.0,0.022099050668786657,0.0,9.595817645189206e-05,0.021628501194852188,0.00870154960330801,1.0900094428576683e-09,6.277452980408038e-06,6.125540688858343e-06,0.07077358304040991,0.015054249754333419,1.574064745489189,4.662012823818574e-06,0.08591900527651558,0.0,0.0,8.265254178555897e-05,0.0,1.0546931782341606e-05,0.02052323552899731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005508090985688492,0.0681356320731358,0.026040804634000672,0.012769004644050943,0.007399735266943151,0.04656181809188178,0.0011834986948401956,0.000446483213855361,1.9022951366266951,9.966125298147579e-06,1.0546931782341606e-05,0.019529994909500366,0.008239533943838738,0.0,1.3354340057644825e-12,0.02771644882661189,0.005299160732425371,0.003739778412408699,2.639989627370864e-15,0.0038510196739488488,1.2002084813730584e-09,1.2002084813730584e-09,0.020524576963065488,1.2002084813730584e-09,6.103077022177886e-06,0.02032560936544657,0.020339343532436403,0.03400577679713656,0.03400577679713656,0.15518238008046784,0.1063632625467319,0.13923881707032038,0.0,0.0,0.0,0.0,0.00013945579711510775,0.09775750361823415,0.0310693331906091,0.1935734679732149,0.001474618219261627,6.410288179430896,0.08309280709324739,0.004140291332358479,0.005042505001050475
