ablation,baseline_relative_l2,candidate_relative_l2,delta_packet_consistency,delta_phase_error,delta_relative_l2,delta_type,loss_config,scenario
no_branch_routing,0.5100948413213094,0.5109287798404694,-0.0010971526304880963,0.0018866558869679029,0.0008339385191599158,ablation_vs_full,proxy_0.20_0.05,helmholtz_highk_positive
no_landing_decoder,0.5100948413213094,0.5893873125314713,0.08462565143903095,-0.04916694760322571,0.07929247121016181,ablation_vs_full,proxy_0.20_0.05,helmholtz_highk_positive
no_transport,0.5100948413213094,0.5119358425339063,0.0019813949863115576,-0.011442989110946655,0.0018410012125968933,ablation_vs_full,proxy_0.20_0.05,helmholtz_highk_positive
no_transported_input_carrier,0.5100948413213094,0.9835930516322454,0.5378311028083165,-0.11075456440448761,0.473498210310936,ablation_vs_full,proxy_0.20_0.05,helmholtz_highk_positive
single_branch,0.5100948413213094,0.5087470685442289,0.005960308015346527,-0.006265719731648689,-0.0013477727770805359,ablation_vs_full,proxy_0.20_0.05,helmholtz_highk_positive
