ablation,batch_size,best_val_loss,branch_diversity_weight,branch_entropy_weight,branch_routing,branch_synthesis,campaign,canonical_loss_weight,core_field_weight,core_warmup_epochs,dissipative_symbol_scale,dissipative_time_step,effective_metadata_flow_loss_weight,epochs,family,final_train_branch_diversity_loss,final_train_branch_entropy_loss,final_train_canonical_consistency,final_train_core_field_loss,final_train_core_warmup_loss,final_train_highfreq_core_loss,final_train_metadata_flow_loss,final_train_packet_space_loss,final_train_residual_energy,final_train_route_l1,final_train_symbol_order_loss,final_train_symbol_proxy,final_train_transport_proxy,frame_type,freeze_refinement_epochs,grad_clip_norm,height,highfreq_core_loss_weight,highfreq_cutoff,in_channels,learning_rate,local_refine_scale,loss_config,max_modes,max_test_samples,max_train_samples,max_val_samples,metadata_flow_loss_weight,mode_strategy,model,model_variant,num_canonical_branches,oom_fallback,out_channels,packet_space_loss_weight,parameters,patch_size,pdo_symbol_order,pdo_symbol_scale,proxy_temperature,reference_source,refine_lowpass_cutoff,regime,requested_batch_size,residual_energy_weight,route_bias_init,route_l1_weight,row_type,run_id,runtime_seconds,scenario,seed,skip_lowpass_cutoff,source_kind,sparse_topk,stride,symbol_order,symbol_order_loss_weight,symbol_order_target,symbol_proxy_weight,test_branch_diversity,test_branch_entropy,test_branch_spread,test_branch_usage_max,test_canonical_flow_error,test_core_relative_l2,test_dissipative_multiplier_mean,test_dissipative_symbol_norm,test_egorov_intertwining_proxy,test_egorov_jacobian_self_proxy,test_egorov_jacobian_target_proxy,test_egorov_targeted_probe_proxy,test_high_frequency_relative_error_proxy,test_loss,test_metadata_shift_norm,test_packet_consistency,test_packet_wavefront_localization_error,test_pdo_identity_norm,test_pdo_identity_order_proxy,test_phase_error,test_raw_refine_correction_norm,test_refine_correction_norm,test_refine_high_frequency_fraction,test_refine_lowpass_removed_norm,test_refine_relative_energy,test_refinement_energy,test_relative_l2,test_residual_energy,test_route_mean,test_sobolev_h1_error_proxy,test_sobolev_h2_error_proxy,test_symbol_budget,test_symbol_error_proxy,test_symbol_order_proxy,test_symbol_order_scaling_error_proxy,test_symplectic_defect_proxy,test_tokenizer_active_fraction,test_tokenizer_covering_radius,test_tokenizer_phase_window_diameter,test_tokenizer_reconstruction_error,test_transport_budget,test_transported_input_norm,test_transported_input_shift_norm,test_transported_landing_gate,test_transported_landing_norm,test_transported_synthesis_shift_norm,test_wavefront_confidence_proxy,test_wf_transport_error_proxy,token_refine_scale,transport_highpass_cutoff,transport_parameterization,transport_proxy_weight,transport_stencil,transported_decoder_channels,transported_decoder_scale,transported_decoder_transport_gate,transported_input_scale,transported_synthesis_mode,transported_synthesis_scale,wavefront_confidence_scale,weight_decay,width,window_type
full,1,0.012954288511537015,0.0,0.0,metadata_softmax,sum,branch_id_v3_controls,0.02,2.0,3,0.0,1.0,2.0,6,wave,0.0,0.0,0.0,0.010928174713626504,0.0,0.0019127079576719552,0.06850913353264332,0.009647048595070373,1.8599430190446853e-09,0.006679632642772049,1.5167472502408685e-05,0.10908044362440705,0.06478881277143955,gabor_gaussian,3,1.0,64,1.0,0.16,1,0.0001,0.05,proxy_0.20_0.05,16,4,8,4,2.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec0x0_tdgate1_tref0_br1_brroutemetadata_softmax_brent0_brdiv0,1,False,1,0.05,1059764,16,-2.0,0.0,0.05,,0.16,synthetic,1,0.5,-5.0,0.05,run,branch_id_v3_controls_wave_bicharacteristic_control_proxy_0p20_0p05_full_7_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_warp_0_0p0_True_0p0_1_metadata_softmax_0p0_0p0_2p0_0p01_0p05_1p0_2p0_3_3,10.185347899998305,wave_bicharacteristic_control,7,0.16,synthetic,True,8,0.0,0.01,0.0,0.05,0.0,0.0,0.0,1.0,0.0024772455799393356,0.4129043072462082,1.0,0.0,0.0638899989426136,0.053421913646161556,0.382159985601902,0.3671750985085964,0.9610153809189796,0.012744063307764009,0.01583370752632618,2.3383240066468716,0.04255867889150977,0.0,0.0,1.3165136277675629,0.0005950454651610926,0.0005828028224641457,6.396331290587341e-15,0.00011247725888097193,1.876700891911831e-09,1.876700891911831e-09,0.41289389319717884,1.876700891911831e-09,0.00667649251408875,0.41192914731800556,0.41095070727169514,0.46937069793542224,0.46937069793542224,0.0012361901657034953,2.369803637266159,0.0,0.9595025330781937,0.25,1.0774961709976196,1.9981756806373596,0.1795161801079909,10.877696871757507,5.540397822856903,0.5844345018267632,0.0,0.4814024940133095,1.3337783167759578,0.0029303204646566883,0.0,0.16,hamiltonian_verlet,0.2,12,0,0.0,True,1.0,warp,1.0,2.0,0.0001,64,gaussian
full,1,0.00514848146121949,0.0,0.0,metadata_softmax,sum,branch_id_v3_controls,0.02,2.0,3,0.0,1.0,2.0,6,wave,0.0,0.0,0.0,0.01723433192819357,0.0,0.0012716945111606037,0.06903538317419589,0.012632792379008606,1.3958063524444064e-09,0.006679662736132741,4.409082512424334e-06,0.1303227194584906,0.07155635301023722,gabor_gaussian,3,1.0,64,1.0,0.16,1,0.0001,0.05,proxy_0.20_0.05,16,4,8,4,2.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec0x0_tdgate1_tref0_br1_brroutemetadata_softmax_brent0_brdiv0,1,False,1,0.05,1059764,16,-2.0,0.0,0.05,,0.16,synthetic,1,0.5,-5.0,0.05,run,branch_id_v3_controls_wave_bicharacteristic_control_proxy_0p20_0p05_full_11_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_warp_0_0p0_True_0p0_1_metadata_softmax_0p0_0p0_2p0_0p01_0p05_1p0_2p0_3_3,8.031746700013173,wave_bicharacteristic_control,11,0.16,synthetic,True,8,0.0,0.01,0.0,0.05,0.0,0.0,0.0,1.0,0.0026235005352646112,0.37982022017240524,1.0,0.0,0.07907027192413807,0.06426658760756254,0.3510299324989319,0.3387848138809204,0.7267342042177916,0.0035282909811940044,0.01572395581752062,169.88596031442285,0.030297397985123098,0.0,0.0,1.2481264472007751,0.00041738727304618806,0.00036420733522390947,1.0594680480960263e-14,0.00019455342953733634,1.570374427717347e-09,1.570374427717347e-09,0.3798000141978264,1.570374427717347e-09,0.006676561431959271,0.37765829265117645,0.37544848024845123,0.5205819383263588,0.5205819383263588,0.00041705168162782985,2.0904858708381653,0.0,0.8775510042905807,0.25,1.0774961709976196,3.9883425906300545,0.1855593423048655,7.965704679489136,6.87725567817688,0.578696608543396,0.0,0.4762524366378784,1.329190989335378,0.013331275928067043,0.0,0.16,hamiltonian_verlet,0.2,12,0,0.0,True,1.0,warp,1.0,2.0,0.0001,64,gaussian
full,1,0.005959135014563799,0.0,0.0,metadata_softmax,sum,branch_id_v3_controls,0.02,2.0,3,0.0,1.0,2.0,6,wave,0.0,0.0,0.0,0.008580830195569433,0.0,0.0014045015468582278,0.05287002108525485,0.006921684027474839,3.680287782859004e-09,0.006679376936517656,3.929196702756599e-05,0.10629270924255252,0.07237519649788737,gabor_gaussian,3,1.0,64,1.0,0.16,1,0.0001,0.05,proxy_0.20_0.05,16,4,8,4,2.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec0x0_tdgate1_tref0_br1_brroutemetadata_softmax_brent0_brdiv0,1,False,1,0.05,1059764,16,-2.0,0.0,0.05,,0.16,synthetic,1,0.5,-5.0,0.05,run,branch_id_v3_controls_wave_bicharacteristic_control_proxy_0p20_0p05_full_19_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_warp_0_0p0_True_0p0_1_metadata_softmax_0p0_0p0_2p0_0p01_0p05_1p0_2p0_3_3,8.836260399999446,wave_bicharacteristic_control,19,0.16,synthetic,True,8,0.0,0.01,0.0,0.05,0.0,0.0,0.0,1.0,0.001639657566556707,0.48400551825761795,1.0,0.0,0.11248017754405737,0.10608985275030136,0.4717668518424034,0.44904517382383347,0.5116896145045757,0.015798217616975307,0.01667215721681714,6464.840357482433,0.14652830630075186,0.0,0.0,1.4395378232002258,0.0007388274825643748,0.0007071719010127708,7.975676525027477e-15,0.00020118222528253682,2.4347009408565157e-09,2.4347009408565157e-09,0.48398228734731674,2.4347009408565157e-09,0.006675968877971172,0.48251864314079285,0.481025118380785,0.5663357141117255,0.5663357141117255,0.00023002464634676775,0.7486581802368164,0.0,0.8864795714616776,0.25,1.0774961709976196,1.0094470977783203,0.24177181844909987,10.858290195465088,12.74280333518982,0.5750285014510155,0.0,0.15417039021849632,1.3273993134498596,0.0028671801410382614,0.0,0.16,hamiltonian_verlet,0.2,12,0,0.0,True,1.0,warp,1.0,2.0,0.0001,64,gaussian
no_transport,1,0.040103728882968426,0.0,0.0,metadata_softmax,sum,branch_id_v3_controls,0.02,2.0,3,0.0,1.0,2.0,6,wave,0.0,0.0,0.0,0.029852418461814523,0.0,0.020797917968593538,0.9999998211860657,0.00967870117892744,1.809620148174318e-09,0.006682767649181187,0.00011669371324884992,0.10937119228765368,0.0644370042718947,gabor_gaussian,3,1.0,64,1.0,0.16,1,0.0001,0.05,proxy_0.20_0.05,16,4,8,4,2.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec0x0_tdgate1_tref0_br1_brroutemetadata_softmax_brent0_brdiv0,1,False,1,0.05,347000,16,-2.0,0.0,0.05,,0.16,synthetic,1,0.5,-5.0,0.05,run,branch_id_v3_controls_wave_bicharacteristic_control_proxy_0p20_0p05_no_transport_7_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_warp_0_0p0_True_0p0_1_metadata_softmax_0p0_0p0_2p0_0p01_0p05_1p0_2p0_3_3,2.7501477999903727,wave_bicharacteristic_control,7,0.16,synthetic,True,8,0.0,0.01,0.0,0.05,0.0,0.0,0.0,1.0,0.018309833481907845,0.6273833811283112,1.0,0.0,0.04039824195206165,0.030135836452245712,0.5812966674566269,0.5847750902175903,1.5142996162176132,0.024983896990306675,0.0,1.646066164597869,0.016693743644282222,0.0,0.0,1.27581325173378,0.0005516561504919082,0.0005396044434746727,6.362335729128408e-15,0.00010530981035117293,1.6834927063502647e-09,1.6834927063502647e-09,0.6273806989192963,1.6834927063502647e-09,0.006684803869575262,0.6272934228181839,0.6272199600934982,0.4668933389087518,0.4668933389087518,0.017220764226901036,2.8289399445056915,0.0,0.9595025330781937,0.25,1.0774961709976196,1.9981756806373596,0.0,12.608281016349792,4.406152174851741e-05,0.6103183776140213,0.0,5.239840916715366e-07,0.0,0.0036659949546447024,0.0,0.16,hamiltonian_verlet,0.2,12,0,0.0,True,1.0,warp,1.0,2.0,0.0001,64,gaussian
no_transport,1,0.03783205896615982,0.0,0.0,metadata_softmax,sum,branch_id_v3_controls,0.02,2.0,3,0.0,1.0,2.0,6,wave,0.0,0.0,0.0,0.03162858006544411,0.0,0.01551253746583825,0.9999998211860657,0.012744503663270734,1.1276097486301317e-09,0.006681438710074872,0.00021774482206637913,0.12989335833117366,0.07189014740288258,gabor_gaussian,3,1.0,64,1.0,0.16,1,0.0001,0.05,proxy_0.20_0.05,16,4,8,4,2.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec0x0_tdgate1_tref0_br1_brroutemetadata_softmax_brent0_brdiv0,1,False,1,0.05,347000,16,-2.0,0.0,0.05,,0.16,synthetic,1,0.5,-5.0,0.05,run,branch_id_v3_controls_wave_bicharacteristic_control_proxy_0p20_0p05_no_transport_11_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_warp_0_0p0_True_0p0_1_metadata_softmax_0p0_0p0_2p0_0p01_0p05_1p0_2p0_3_3,2.6535397000116063,wave_bicharacteristic_control,11,0.16,synthetic,True,8,0.0,0.01,0.0,0.05,0.0,0.0,0.0,1.0,0.018309833481907845,0.889761745929718,1.0,0.0,0.12806306034326553,0.03989036660641432,0.8728189468383789,0.9217140227556229,2.2819720655679703,0.022014388465322554,0.0,117.3390469327569,0.0323468700516969,0.0,0.0,1.471825659275055,0.0003924081029254012,0.0003348389873281121,9.32479386336004e-15,0.00019722194883797783,1.3364002682259013e-09,1.3364002682259013e-09,0.8897530883550644,1.3364002682259013e-09,0.006678708828985691,0.8929026648402214,0.896007739007473,0.5149723303814729,0.5149723303814729,0.0002846518376221259,3.3406784534454346,0.0,0.8775510042905807,0.25,1.0774961709976196,3.9883425906300545,0.0,9.434463620185852,2.9112197807990015e-05,0.6226727440953255,0.0,5.224581229867908e-07,0.0,0.02800257899798453,0.0,0.16,hamiltonian_verlet,0.2,12,0,0.0,True,1.0,warp,1.0,2.0,0.0001,64,gaussian
no_transport,1,0.03214844223111868,0.0,0.0,metadata_softmax,sum,branch_id_v3_controls,0.02,2.0,3,0.0,1.0,2.0,6,wave,0.0,0.0,0.0,0.02868056041188538,0.0,0.021479453513165936,0.9999998211860657,0.006934432029083837,3.6562562144570876e-09,0.006679723272100091,9.146926288394752e-05,0.1062535340897739,0.07249018922448158,gabor_gaussian,3,1.0,64,1.0,0.16,1,0.0001,0.05,proxy_0.20_0.05,16,4,8,4,2.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec0x0_tdgate1_tref0_br1_brroutemetadata_softmax_brent0_brdiv0,1,False,1,0.05,347000,16,-2.0,0.0,0.05,,0.16,synthetic,1,0.5,-5.0,0.05,run,branch_id_v3_controls_wave_bicharacteristic_control_proxy_0p20_0p05_no_transport_19_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_warp_0_0p0_True_0p0_1_metadata_softmax_0p0_0p0_2p0_0p01_0p05_1p0_2p0_3_3,2.661888899994665,wave_bicharacteristic_control,19,0.16,synthetic,True,8,0.0,0.01,0.0,0.05,0.0,0.0,0.0,1.0,0.018309833481907845,1.1192403733730316,1.0,0.0,0.03830513032153249,0.03791756182909012,1.0893610566854477,1.0895500779151917,1.5219959914684296,0.07037709467113018,0.0,172.15255001559854,0.028929495718330145,0.0,0.0,1.2283139526844025,0.0007059926865622401,0.0006753822090104222,6.474252392504106e-15,0.00019322519801789895,2.2406693445109482e-09,2.2406693445109482e-09,1.1192300617694855,2.2406693445109482e-09,0.006676690885797143,1.121117576956749,1.1230181753635406,0.48141275842984516,0.48141275842984516,0.00012847602677841982,1.4103313088417053,0.0,0.8864795714616776,0.25,1.0774961709976196,1.0094470977783203,0.0,12.533867120742798,4.031916159874527e-05,0.6046277284622192,0.0,2.2012223421796762e-07,0.0,0.005815204465761781,0.0,0.16,hamiltonian_verlet,0.2,12,0,0.0,True,1.0,warp,1.0,2.0,0.0001,64,gaussian
no_symbol,1,0.015473805833607912,0.0,0.0,metadata_softmax,sum,branch_id_v3_controls,0.02,2.0,3,0.0,1.0,2.0,6,wave,0.0,0.0,0.0,0.013213742058724165,0.0,0.003958077286370099,0.1597130848094821,0.009679511480499059,1.8618849656482084e-09,0.006680728460196406,0.0,0.10908449906855822,0.06470563123002648,gabor_gaussian,3,1.0,64,1.0,0.16,1,0.0001,0.05,proxy_0.20_0.05,16,4,8,4,2.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec0x0_tdgate1_tref0_br1_brroutemetadata_softmax_brent0_brdiv0,1,False,1,0.05,854708,16,-2.0,0.0,0.05,,0.16,synthetic,1,0.5,-5.0,0.05,run,branch_id_v3_controls_wave_bicharacteristic_control_proxy_0p20_0p05_no_symbol_7_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_warp_0_0p0_True_0p0_1_metadata_softmax_0p0_0p0_2p0_0p01_0p05_1p0_2p0_3_3,6.4785147000075085,wave_bicharacteristic_control,7,0.16,synthetic,True,8,0.0,0.01,0.0,0.05,0.0,0.0,0.0,1.0,0.005486702546477318,0.45980559289455414,1.0,0.0,0.12252134829759598,0.04613558296114206,0.4118426963686943,0.46225666999816895,1.6194072514772415,0.014478914206847548,0.012827658792957664,3.666134111583233,0.04504484590142965,0.0,0.0,1.3066368103027344,0.000577361395698972,0.0005676399450749159,5.093146219643774e-15,9.88154979495448e-05,1.832149196245858e-09,1.832149196245858e-09,0.45979997515678406,1.832149196245858e-09,0.006677956553176045,0.4591834098100662,0.4582216553390026,0.0,0.0,0.0,2.308812379837036,0.0,0.9595025330781937,0.25,1.0774961709976196,1.9981756806373596,0.19436510590215525,10.587005615234375,4.62773209810257,0.5822974666953087,0.0,1.2482629418373108,1.3322615871826808,0.004645486013032496,0.0,0.16,hamiltonian_verlet,0.2,12,0,0.0,True,1.0,warp,1.0,2.0,0.0001,64,gaussian
no_symbol,1,0.006015222461428493,0.0,0.0,metadata_softmax,sum,branch_id_v3_controls,0.02,2.0,3,0.0,1.0,2.0,6,wave,0.0,0.0,0.0,0.017737356829456985,0.0,0.0016862391512404429,0.09760625939816236,0.01267446024576202,1.3476204527296254e-09,0.006680041435174644,0.0,0.1303911921568215,0.07158270664513111,gabor_gaussian,3,1.0,64,1.0,0.16,1,0.0001,0.05,proxy_0.20_0.05,16,4,8,4,2.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec0x0_tdgate1_tref0_br1_brroutemetadata_softmax_brent0_brdiv0,1,False,1,0.05,854708,16,-2.0,0.0,0.05,,0.16,synthetic,1,0.5,-5.0,0.05,run,branch_id_v3_controls_wave_bicharacteristic_control_proxy_0p20_0p05_no_symbol_11_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_warp_0_0p0_True_0p0_1_metadata_softmax_0p0_0p0_2p0_0p01_0p05_1p0_2p0_3_3,6.078584000002593,wave_bicharacteristic_control,11,0.16,synthetic,True,8,0.0,0.01,0.0,0.05,0.0,0.0,0.0,1.0,0.0038369170506484807,0.4032565876841545,1.0,0.0,0.08441840577870607,0.0610708212479949,0.37896207720041275,0.37423449754714966,0.773845762014389,0.00400720234028995,0.014515827875584364,175.20989305526018,0.02523060329258442,0.0,0.0,1.2876962572336197,0.0004015647427877411,0.0003499774757074192,1.010510856645796e-14,0.00018804880892275833,1.4475985132822444e-09,1.4475985132822444e-09,0.40323785692453384,1.4475985132822444e-09,0.006677358062006533,0.4014187380671501,0.39951565116643906,0.0,0.0,0.0,2.6496450901031494,0.0,0.8775510042905807,0.25,1.0774961709976196,3.9883425906300545,0.17995981934169927,7.833571374416351,6.483536064624786,0.5746599212288857,0.0,0.5323421806097031,1.3306898772716522,0.016757828212575987,0.0,0.16,hamiltonian_verlet,0.2,12,0,0.0,True,1.0,warp,1.0,2.0,0.0001,64,gaussian
no_symbol,1,0.00700013421010226,0.0,0.0,metadata_softmax,sum,branch_id_v3_controls,0.02,2.0,3,0.0,1.0,2.0,6,wave,0.0,0.0,0.0,0.009644649835536256,0.0,0.0024357018883165438,0.09801117982715368,0.0069294610220822506,3.741304238635834e-09,0.006679954763967544,0.0,0.10625827871263027,0.07238651299849153,gabor_gaussian,3,1.0,64,1.0,0.16,1,0.0001,0.05,proxy_0.20_0.05,16,4,8,4,2.0,shell_balanced,MiNO-Plus,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec0x0_tdgate1_tref0_br1_brroutemetadata_softmax_brent0_brdiv0,1,False,1,0.05,854708,16,-2.0,0.0,0.05,,0.16,synthetic,1,0.5,-5.0,0.05,run,branch_id_v3_controls_wave_bicharacteristic_control_proxy_0p20_0p05_no_symbol_19_hamiltonian_verlet_gabor_gaussian_True_2p0_0p16_0p16_0p16_1p0_1p0_warp_0_0p0_True_0p0_1_metadata_softmax_0p0_0p0_2p0_0p01_0p05_1p0_2p0_3_3,6.171024600000237,wave_bicharacteristic_control,19,0.16,synthetic,True,8,0.0,0.01,0.0,0.05,0.0,0.0,0.0,1.0,0.0035918080247938633,0.5306576937437057,1.0,0.0,0.10577485337853432,0.0942149693146348,0.5215351656079292,0.49890273064374924,0.8693840131163597,0.017697505885735154,0.01472277962602675,5662.894692838192,0.11828659882303327,0.0,0.0,1.2472587078809738,0.0007137879001675174,0.0006908171635586768,7.551932146597956e-15,0.00017035589917213656,2.339646865134881e-09,2.339646865134881e-09,0.5306393951177597,2.339646865134881e-09,0.0066768963588401675,0.5296217650175095,0.5285787805914879,0.0,0.0,0.0,2.2788249254226685,0.0,0.8864795714616776,0.25,1.0774961709976196,1.0094470977783203,0.24661407868067423,10.567744493484497,11.286048412322998,0.5692545995116234,0.0,0.4033080115914345,1.3321112742026646,0.0037987701944075525,0.0,0.16,hamiltonian_verlet,0.2,12,0,0.0,True,1.0,warp,1.0,2.0,0.0001,64,gaussian
