ablation,family,loss_config,mean_final_train_canonical_consistency,mean_final_train_core_field_loss,mean_final_train_core_warmup_loss,mean_final_train_highfreq_core_loss,mean_final_train_packet_space_loss,mean_final_train_residual_energy,mean_final_train_route_l1,mean_final_train_symbol_order_loss,mean_final_train_symbol_proxy,mean_final_train_transport_proxy,mean_runtime_seconds,mean_test_branch_diversity,mean_test_branch_entropy,mean_test_branch_spread,mean_test_branch_usage_max,mean_test_canonical_flow_error,mean_test_core_relative_l2,mean_test_dissipative_multiplier_mean,mean_test_dissipative_symbol_norm,mean_test_egorov_intertwining_proxy,mean_test_egorov_jacobian_self_proxy,mean_test_egorov_jacobian_target_proxy,mean_test_egorov_targeted_probe_proxy,mean_test_high_frequency_relative_error_proxy,mean_test_metadata_shift_norm,mean_test_packet_consistency,mean_test_packet_wavefront_localization_error,mean_test_pdo_identity_norm,mean_test_pdo_identity_order_proxy,mean_test_phase_error,mean_test_raw_refine_correction_norm,mean_test_refine_correction_norm,mean_test_refine_high_frequency_fraction,mean_test_refine_lowpass_removed_norm,mean_test_refine_relative_energy,mean_test_refinement_energy,mean_test_relative_l2,mean_test_residual_energy,mean_test_route_mean,mean_test_sobolev_h1_error_proxy,mean_test_sobolev_h2_error_proxy,mean_test_symbol_budget,mean_test_symbol_error_proxy,mean_test_symbol_order_proxy,mean_test_symbol_order_scaling_error_proxy,mean_test_symplectic_defect_proxy,mean_test_tokenizer_active_fraction,mean_test_tokenizer_covering_radius,mean_test_tokenizer_phase_window_diameter,mean_test_tokenizer_reconstruction_error,mean_test_transport_budget,mean_test_transported_input_norm,mean_test_transported_input_shift_norm,mean_test_transported_landing_gate,mean_test_transported_landing_norm,mean_test_transported_synthesis_shift_norm,mean_test_wavefront_confidence_proxy,mean_test_wf_transport_error_proxy,model_variant,regime,runs,scenario,std_final_train_canonical_consistency,std_final_train_core_field_loss,std_final_train_core_warmup_loss,std_final_train_highfreq_core_loss,std_final_train_packet_space_loss,std_final_train_residual_energy,std_final_train_route_l1,std_final_train_symbol_order_loss,std_final_train_symbol_proxy,std_final_train_transport_proxy,std_runtime_seconds,std_test_branch_diversity,std_test_branch_entropy,std_test_branch_spread,std_test_branch_usage_max,std_test_canonical_flow_error,std_test_core_relative_l2,std_test_dissipative_multiplier_mean,std_test_dissipative_symbol_norm,std_test_egorov_intertwining_proxy,std_test_egorov_jacobian_self_proxy,std_test_egorov_jacobian_target_proxy,std_test_egorov_targeted_probe_proxy,std_test_high_frequency_relative_error_proxy,std_test_metadata_shift_norm,std_test_packet_consistency,std_test_packet_wavefront_localization_error,std_test_pdo_identity_norm,std_test_pdo_identity_order_proxy,std_test_phase_error,std_test_raw_refine_correction_norm,std_test_refine_correction_norm,std_test_refine_high_frequency_fraction,std_test_refine_lowpass_removed_norm,std_test_refine_relative_energy,std_test_refinement_energy,std_test_relative_l2,std_test_residual_energy,std_test_route_mean,std_test_sobolev_h1_error_proxy,std_test_sobolev_h2_error_proxy,std_test_symbol_budget,std_test_symbol_error_proxy,std_test_symbol_order_proxy,std_test_symbol_order_scaling_error_proxy,std_test_symplectic_defect_proxy,std_test_tokenizer_active_fraction,std_test_tokenizer_covering_radius,std_test_tokenizer_phase_window_diameter,std_test_tokenizer_reconstruction_error,std_test_transport_budget,std_test_transported_input_norm,std_test_transported_input_shift_norm,std_test_transported_landing_gate,std_test_transported_landing_norm,std_test_transported_synthesis_shift_norm,std_test_wavefront_confidence_proxy,std_test_wf_transport_error_proxy
full,wave,proxy_0.20_0.05,0.0,0.012247778945796503,0.0,0.001529634671896929,0.009733841667184606,2.3120123847826988e-09,0.0066795574384741485,1.962284068079967e-05,0.11523195744181673,0.06957345409318805,9.017785000003641,0.0,0.0,0.0,1.0,0.002246801227253551,0.42557668189207715,1.0,0.0,0.08514681613693635,0.07459278466800849,0.4016522566477458,0.3850016954044501,0.7331463998804489,0.016076606853554647,2212.3548806011677,0.07312812772579491,0.0,0.0,1.3347259660561879,0.0005837534069238851,0.000551394019566942,8.322229432191694e-15,0.00016940430456694836,1.9605920868285645e-09,1.9605920868285645e-09,0.425558731580774,1.9605920868285645e-09,0.006676340941339731,0.4240353610366583,0.4224747686336438,0.5187627834578354,0.5187627834578354,0.0006277554978926976,1.7363158961137135,0.0,0.9078443696101507,0.25,1.0774961709976196,2.331988456348578,0.20228244695398542,9.900563915570578,8.386818945407867,0.5793865372737249,0.0,0.37060844028989476,1.3301228731870651,0.006376258844587331,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec0x0_tdgate1_tref0_br1_brroutemetadata_softmax_brent0_brdiv0,synthetic,3,wave_bicharacteristic_control,0.0,0.0044751301161310335,0.0,0.0003383316182217585,0.0028565432656910616,1.2074721052911983e-09,1.570417772845745e-07,1.786313626516748e-05,0.013143104253899033,0.0041637988181051876,1.0882154738145213,0.0,0.0,0.0,0.0,0.0005308626908462989,0.05323613334615976,0.0,0.0,0.024858492639490838,0.027810981853715926,0.0626842276496366,0.0572510035837856,0.22473150264456698,0.000518672860079455,3683.7131539959305,0.06386136870983121,0.0,0.0,0.09699662708030243,0.00016101734381177176,0.00017362620200091374,2.1205207306636315e-15,4.941155362015885e-05,4.382275433690201e-10,4.382275433690201e-10,0.053233308258182614,4.382275433690201e-10,3.2405366976296367e-07,0.05346815486018355,0.05372345505025627,0.048508098126441114,0.048508098126441114,0.0005351535636871277,0.86666338705345,0.0,0.04495947305741568,0.0,0.0,1.517243492737443,0.034332022925306946,1.6756653461710138,3.8311548173299803,0.0047408028863095844,0.0,0.18745853651347658,0.0032900192238601708,0.00602330421353078
no_symbol,wave,proxy_0.20_0.05,0.0,0.013531916241239136,0.0,0.002693339441975695,0.009761144249447776,2.3169365523378893e-09,0.0066802415531128645,0.0,0.11524465664600332,0.0695582836245497,6.2427077666701125,0.0,0.0,0.0,1.0,0.0043051425406398875,0.4645732914408048,1.0,0.0,0.10423820248494546,0.06714045784125726,0.43744664639234543,0.44513129939635593,1.0875456755359967,0.014022088764856258,1947.2569066683452,0.06285401600568245,0.0,0.0,1.2805305918057759,0.0005642380128847435,0.000536144861447004,7.58339564423323e-15,0.00015240673534814655,1.8731315248876612e-09,1.8731315248876612e-09,0.46455907573302585,1.8731315248876612e-09,0.006677403658007582,0.4634079709649086,0.4621053623656432,0.0,0.0,0.0,2.412427465120951,0.0,0.9078443696101507,0.25,1.0774961709976196,2.331988456348578,0.2069796679748429,9.66277382771174,7.465772191683452,0.5754039958119392,0.0,0.7279710446794828,1.3316875795523326,0.008400694806672012,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec0x0_tdgate1_tref0_br1_brroutemetadata_softmax_brent0_brdiv0,synthetic,3,wave_bicharacteristic_control,0.0,0.004055724686190826,0.0,0.0011576247059599894,0.002873369442265468,1.2600533626157137e-09,4.238948637775224e-07,0.0,0.013193181339632307,0.004221694281918057,0.20938003364569258,0.0,0.0,0.0,0.0,0.0010305739392128842,0.06383422803144248,0.0,0.0,0.019097893316437617,0.024607665763188673,0.0746554959606096,0.0640741821995732,0.46307606430038484,0.001039569370018207,3218.9796417215816,0.04901764458735638,0.0,0.0,0.030330674779340434,0.0001565247340946974,0.0001725887552049164,2.5061293073649203e-15,4.724696083660705e-05,4.474340498402306e-10,4.474340498402306e-10,0.06383396245119902,4.474340498402306e-10,5.315658509917941e-07,0.06420583476228538,0.06461915528268927,0.0,0.0,0.0,0.20598291933364163,0.0,0.04495947305741568,0.0,0.0,1.517243492737443,0.03507196821139498,1.5841650668598808,3.4361147961073537,0.006553192453428598,0.0,0.4551814999312117,0.0008672980333463238,0.00724986144643017
no_transport,wave,proxy_0.20_0.05,0.0,0.030053852979714673,0.0,0.019263302982532576,0.009785878957094004,2.1978287037538458e-09,0.006681309877118717,0.00014196926606639218,0.11517269490286708,0.06960578029975295,2.688525466665548,0.0,0.0,0.0,1.0,0.018309833481907845,0.8787951668103536,1.0,0.0,0.06892214420561989,0.035981254962583385,0.8478255569934845,0.8653463969628016,1.772755891084671,0.0,97.04588770431776,0.025990036471436422,0.0,0.0,1.325317621231079,0.0005500189799931832,0.0005166085466044024,7.387127328330851e-15,0.00016525231906901658,1.753520773029038e-09,1.753520773029038e-09,0.878787949681282,1.753520773029038e-09,0.006680067861452699,0.8804378882050514,0.8820819581548373,0.48775947590668994,0.48775947590668994,0.005877964030433861,2.526649902264277,0.0,0.9078443696101507,0.25,1.0774961709976196,2.331988456348578,0.0,11.525537252426147,3.783096038508423e-05,0.6125396167238554,0.0,4.2218814962543166e-07,0.0,0.012494592806130337,MiNO-Plus_wingaussian_modshell_balanced_K12_modes16_patch16_ref0.05_rlp0.16_hfc0.16_rb-5_pdo0_diss0_symord0_symparspectral_order_wfconf2_trhamiltonian_verlet_framegabor_gaussian_sparse1_sklp0.16_tsyn1_tin1_tsmwarp_tdec0x0_tdgate1_tref0_br1_brroutemetadata_softmax_brent0_brdiv0,synthetic,3,wave_bicharacteristic_control,0.0,0.0014842967588030987,0.0,0.003266083915876371,0.00290651826171716,1.3082593967763603e-09,1.5262720599289195e-06,6.682454181947844e-05,0.012843418430729954,0.00448633444657647,0.0535295363176829,0.0,0.0,0.0,0.0,0.0,0.2461118132032506,0.0,0.0,0.05122822708502111,0.005157487551425306,0.25495265845361925,0.25706502869783365,0.4410109327608044,0.0,87.0458183510901,0.008230152312061876,0.0,0.0,0.1290833055091434,0.00015679870222391455,0.0001714322895871511,1.679001201790607e-15,5.1950185445492115e-05,4.561837219513954e-10,4.561837219513954e-10,0.24610795321085366,4.561837219513954e-10,4.223784248845046e-06,0.24714793504112234,0.24819229056420458,0.02465984534231032,0.02465984534231032,0.009823463490221004,1.000047237333657,0.0,0.04495947305741568,0.0,0.0,1.517243492737443,0.0,1.8113050705369371,7.779070029859261e-06,0.00922529537126342,0.0,1.749958793006253e-07,0.0,0.013473232803441208
